Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150521-0000_13_17_000,2015-05-21 13:00:00,2015-05-21 17:00:00,5.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_12_14_000,25930.22280,-78182.24497,1.00000,3.00000
wrf-s3cn_arw_uh_max_20150521-0000_20_21_001,2015-05-21 20:00:00,2015-05-21 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_20_21_005,22682.75522,-35949.39734,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150521-0000_20_20_002,2015-05-21 20:00:00,2015-05-21 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_20_20_007,313.80619,-36570.81655,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150521-0000_21_21_003,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150521-0000_21_21_004,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_21_21_011,108882.56868,211357.42416,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150521-0000_21_22_005,2015-05-21 21:00:00,2015-05-21 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150521-0000_22_24_006,2015-05-21 22:00:00,2015-05-22 00:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_22_24_012,-198091.23770,114554.19302,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150521-0000_22_24_007,2015-05-21 22:00:00,2015-05-22 00:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_15_16_001,-499017.45427,35025.66493,7.00000,8.00000
wrf-s3cn_arw_uh_max_20150521-0000_22_22_008,2015-05-21 22:00:00,2015-05-21 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_22_22_015,-50990.44774,62133.94058,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150521-0000_22_23_009,2015-05-21 22:00:00,2015-05-21 23:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_22_22_016,-19545.13386,58469.43650,0.00000,1.00000
wrf-s3cn_arw_uh_max_20150521-0000_22_26_010,2015-05-21 22:00:00,2015-05-22 02:00:00,5.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_25_25_019,34904.89453,161484.52378,-3.00000,1.00000
wrf-s3cn_arw_uh_max_20150521-0000_23_23_011,2015-05-21 23:00:00,2015-05-21 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_21_21_010,-58071.57431,4965.33158,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150521-0000_24_24_012,2015-05-22 00:00:00,2015-05-22 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150521-0000_24_28_013,2015-05-22 00:00:00,2015-05-22 04:00:00,5.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_19_23_003,-309873.37066,-15741.22066,5.00000,5.00000
wrf-s3cn_arw_uh_max_20150521-0000_25_27_014,2015-05-22 01:00:00,2015-05-22 03:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_26_26_020,-74275.62002,-112069.89111,-1.00000,1.00000
wrf-s3cn_arw_uh_max_20150521-0000_28_30_015,2015-05-22 04:00:00,2015-05-22 06:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150521-0000_28_28_016,2015-05-22 04:00:00,2015-05-22 04:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_26_26_021,-2715.10002,-273950.86285,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150521-0000_28_28_017,2015-05-22 04:00:00,2015-05-22 04:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_19_19_004,-157450.44617,123836.61999,9.00000,9.00000
wrf-s3cn_arw_uh_max_20150521-0000_28_28_018,2015-05-22 04:00:00,2015-05-22 04:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_24_25_018,73193.50554,347650.81404,4.00000,3.00000
wrf-s3cn_arw_uh_max_20150521-0000_29_30_019,2015-05-22 05:00:00,2015-05-22 06:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150521-0000_16_17_002,-307518.98829,-73926.59040,13.00000,13.00000
