Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150520-0000_12_12_000,2015-05-20 12:00:00,2015-05-20 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_21_23_007,595075.16144,261626.33905,-9.00000,-11.00000
wrf-s3cn_arw_uh_max_20150520-0000_12_12_001,2015-05-20 12:00:00,2015-05-20 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150520-0000_12_12_002,2015-05-20 12:00:00,2015-05-20 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_22_22_011,415017.42808,523272.28669,-10.00000,-10.00000
wrf-s3cn_arw_uh_max_20150520-0000_13_13_003,2015-05-20 13:00:00,2015-05-20 13:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150520-0000_13_13_004,2015-05-20 13:00:00,2015-05-20 13:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150520-0000_13_13_005,2015-05-20 13:00:00,2015-05-20 13:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150520-0000_13_13_006,2015-05-20 13:00:00,2015-05-20 13:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150520-0000_19_19_007,2015-05-20 19:00:00,2015-05-20 19:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_21_23_006,26881.28516,-23753.07694,-2.00000,-4.00000
wrf-s3cn_arw_uh_max_20150520-0000_20_21_008,2015-05-20 20:00:00,2015-05-20 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_23_25_015,-4484.46563,-70307.99975,-3.00000,-4.00000
wrf-s3cn_arw_uh_max_20150520-0000_21_21_009,2015-05-20 21:00:00,2015-05-20 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_21_21_005,170601.96270,-216144.32336,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150520-0000_21_22_010,2015-05-20 21:00:00,2015-05-20 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_20_22_002,-7427.92119,133769.99668,1.00000,0.00000
wrf-s3cn_arw_uh_max_20150520-0000_21_22_011,2015-05-20 21:00:00,2015-05-20 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_22_23_010,37689.16863,-28582.80669,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150520-0000_21_21_012,2015-05-20 21:00:00,2015-05-20 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_23_23_013,50054.05575,40384.66455,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150520-0000_23_23_013,2015-05-20 23:00:00,2015-05-20 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_23_23_012,-5615.41951,-18280.45542,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150520-0000_24_24_014,2015-05-21 00:00:00,2015-05-21 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_22_25_009,97949.03745,-48179.56911,2.00000,-1.00000
wrf-s3cn_arw_uh_max_20150520-0000_24_24_015,2015-05-21 00:00:00,2015-05-21 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_24_24_016,130126.94990,-62572.99965,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150520-0000_25_26_016,2015-05-21 01:00:00,2015-05-21 02:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150520-0000_20_22_001,52324.21924,67337.34539,5.00000,4.00000
