Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150602-0000_12_12_000,2015-06-02 12:00:00,2015-06-02 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_13_15_000
obs_wrf-s3cn_arw_20150602-0000_21_21_001,2015-06-02 21:00:00,2015-06-02 21:00:00,1.00000,None
obs_wrf-s3cn_arw_20150602-0000_21_22_002,2015-06-02 21:00:00,2015-06-02 22:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_23_23_010
obs_wrf-s3cn_arw_20150602-0000_21_21_003,2015-06-02 21:00:00,2015-06-02 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_21_21_005
obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-02 21:00:00,2015-06-03 01:00:00,5.00000,wrf-s3cn_arw_uh_max_20150602-0000_23_24_013
obs_wrf-s3cn_arw_20150602-0000_22_22_005,2015-06-02 22:00:00,2015-06-02 22:00:00,1.00000,None
obs_wrf-s3cn_arw_20150602-0000_22_22_006,2015-06-02 22:00:00,2015-06-02 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_22_22_007
obs_wrf-s3cn_arw_20150602-0000_22_24_007,2015-06-02 22:00:00,2015-06-03 00:00:00,3.00000,wrf-s3cn_arw_uh_max_20150602-0000_24_26_015
obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-02 22:00:00,2015-06-03 03:00:00,6.00000,wrf-s3cn_arw_uh_max_20150602-0000_23_24_011
obs_wrf-s3cn_arw_20150602-0000_23_23_009,2015-06-02 23:00:00,2015-06-02 23:00:00,1.00000,None
obs_wrf-s3cn_arw_20150602-0000_24_24_010,2015-06-03 00:00:00,2015-06-03 00:00:00,1.00000,None
obs_wrf-s3cn_arw_20150602-0000_24_25_011,2015-06-03 00:00:00,2015-06-03 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_27_28_024
obs_wrf-s3cn_arw_20150602-0000_24_25_012,2015-06-03 00:00:00,2015-06-03 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_24_25_014
obs_wrf-s3cn_arw_20150602-0000_25_26_013,2015-06-03 01:00:00,2015-06-03 02:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_26_27_022
obs_wrf-s3cn_arw_20150602-0000_25_27_014,2015-06-03 01:00:00,2015-06-03 03:00:00,3.00000,wrf-s3cn_arw_uh_max_20150602-0000_25_27_016
obs_wrf-s3cn_arw_20150602-0000_25_25_015,2015-06-03 01:00:00,2015-06-03 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_25_25_017
obs_wrf-s3cn_arw_20150602-0000_25_28_016,2015-06-03 01:00:00,2015-06-03 04:00:00,4.00000,wrf-s3cn_arw_uh_max_20150602-0000_28_31_025
obs_wrf-s3cn_arw_20150602-0000_25_25_017,2015-06-03 01:00:00,2015-06-03 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_25_25_020
obs_wrf-s3cn_arw_20150602-0000_25_25_018,2015-06-03 01:00:00,2015-06-03 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_25_25_019
obs_wrf-s3cn_arw_20150602-0000_26_28_019,2015-06-03 02:00:00,2015-06-03 04:00:00,3.00000,wrf-s3cn_arw_uh_max_20150602-0000_29_32_026
obs_wrf-s3cn_arw_20150602-0000_26_26_020,2015-06-03 02:00:00,2015-06-03 02:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_26_26_021
obs_wrf-s3cn_arw_20150602-0000_26_27_021,2015-06-03 02:00:00,2015-06-03 03:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_21_22_004
obs_wrf-s3cn_arw_20150602-0000_27_27_022,2015-06-03 03:00:00,2015-06-03 03:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_25_27_018
obs_wrf-s3cn_arw_20150602-0000_28_28_023,2015-06-03 04:00:00,2015-06-03 04:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_27_27_023
obs_wrf-s3cn_arw_20150602-0000_30_30_024,2015-06-03 06:00:00,2015-06-03 06:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_29_29_027
obs_wrf-s3cn_arw_20150602-0000_30_31_025,2015-06-03 06:00:00,2015-06-03 07:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_31_31_032
obs_wrf-s3cn_arw_20150602-0000_31_33_026,2015-06-03 07:00:00,2015-06-03 09:00:00,3.00000,wrf-s3cn_arw_uh_max_20150602-0000_31_33_031
obs_wrf-s3cn_arw_20150602-0000_32_33_027,2015-06-03 08:00:00,2015-06-03 09:00:00,2.00000,wrf-s3cn_arw_uh_max_20150602-0000_31_32_030
obs_wrf-s3cn_arw_20150602-0000_33_33_028,2015-06-03 09:00:00,2015-06-03 09:00:00,1.00000,wrf-s3cn_arw_uh_max_20150602-0000_33_33_033
