Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150527-0000_12_12_000,2015-05-27 12:00:00,2015-05-27 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_15_15_000
obs_wrf-s3cn_arw_20150527-0000_12_12_001,2015-05-27 12:00:00,2015-05-27 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_18_18_005
obs_wrf-s3cn_arw_20150527-0000_12_12_002,2015-05-27 12:00:00,2015-05-27 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_15_15_001
obs_wrf-s3cn_arw_20150527-0000_15_16_003,2015-05-27 15:00:00,2015-05-27 16:00:00,2.00000,wrf-s3cn_arw_uh_max_20150527-0000_16_18_002
obs_wrf-s3cn_arw_20150527-0000_17_17_004,2015-05-27 17:00:00,2015-05-27 17:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_16_16_003
obs_wrf-s3cn_arw_20150527-0000_19_19_005,2015-05-27 19:00:00,2015-05-27 19:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_20_20_014
obs_wrf-s3cn_arw_20150527-0000_20_23_006,2015-05-27 20:00:00,2015-05-27 23:00:00,4.00000,None
obs_wrf-s3cn_arw_20150527-0000_20_20_007,2015-05-27 20:00:00,2015-05-27 20:00:00,1.00000,None
obs_wrf-s3cn_arw_20150527-0000_20_20_008,2015-05-27 20:00:00,2015-05-27 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_20_20_013
obs_wrf-s3cn_arw_20150527-0000_21_24_009,2015-05-27 21:00:00,2015-05-28 00:00:00,4.00000,None
obs_wrf-s3cn_arw_20150527-0000_21_24_010,2015-05-27 21:00:00,2015-05-28 00:00:00,4.00000,None
obs_wrf-s3cn_arw_20150527-0000_21_22_011,2015-05-27 21:00:00,2015-05-27 22:00:00,2.00000,None
obs_wrf-s3cn_arw_20150527-0000_21_24_012,2015-05-27 21:00:00,2015-05-28 00:00:00,4.00000,wrf-s3cn_arw_uh_max_20150527-0000_25_26_032
obs_wrf-s3cn_arw_20150527-0000_21_24_013,2015-05-27 21:00:00,2015-05-28 00:00:00,4.00000,None
obs_wrf-s3cn_arw_20150527-0000_21_21_014,2015-05-27 21:00:00,2015-05-27 21:00:00,1.00000,None
obs_wrf-s3cn_arw_20150527-0000_22_23_015,2015-05-27 22:00:00,2015-05-27 23:00:00,2.00000,wrf-s3cn_arw_uh_max_20150527-0000_21_22_015
obs_wrf-s3cn_arw_20150527-0000_22_22_016,2015-05-27 22:00:00,2015-05-27 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_22_22_018
obs_wrf-s3cn_arw_20150527-0000_22_22_017,2015-05-27 22:00:00,2015-05-27 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150527-0000_19_19_007
obs_wrf-s3cn_arw_20150527-0000_22_23_018,2015-05-27 22:00:00,2015-05-27 23:00:00,2.00000,None
obs_wrf-s3cn_arw_20150527-0000_22_24_019,2015-05-27 22:00:00,2015-05-28 00:00:00,3.00000,wrf-s3cn_arw_uh_max_20150527-0000_19_20_010
obs_wrf-s3cn_arw_20150527-0000_22_24_020,2015-05-27 22:00:00,2015-05-28 00:00:00,3.00000,wrf-s3cn_arw_uh_max_20150527-0000_26_26_034
obs_wrf-s3cn_arw_20150527-0000_22_22_021,2015-05-27 22:00:00,2015-05-27 22:00:00,1.00000,None
obs_wrf-s3cn_arw_20150527-0000_22_24_022,2015-05-27 22:00:00,2015-05-28 00:00:00,3.00000,wrf-s3cn_arw_uh_max_20150527-0000_26_27_035
obs_wrf-s3cn_arw_20150527-0000_22_23_023,2015-05-27 22:00:00,2015-05-27 23:00:00,2.00000,wrf-s3cn_arw_uh_max_20150527-0000_24_24_028
obs_wrf-s3cn_arw_20150527-0000_22_24_024,2015-05-27 22:00:00,2015-05-28 00:00:00,3.00000,None
