Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150602-0000_12_12_000_00,obs_wrf-s3cn_arw_20150602-0000_12_12_000,2015-06-02 12:00:00,12.00000,12.00000,1.00000,-99.35038,46.26972,11.84475,29.21484,0.00000,7.60430,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_21_21_001_00,obs_wrf-s3cn_arw_20150602-0000_21_21_001,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-80.01933,35.22980,10.75102,26.48828,2.98047,5.81623,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_21_22_002_00,obs_wrf-s3cn_arw_20150602-0000_21_22_002,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-108.57781,43.78023,12.82550,24.03809,0.56934,6.15621,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_21_22_002_01,obs_wrf-s3cn_arw_20150602-0000_21_22_002,2015-06-02 22:00:00,22.00000,22.00000,2.00000,-108.24386,43.76526,12.54544,30.33887,3.46387,6.01941,-0.28006,6.30078
obs_wrf-s3cn_arw_20150602-0000_21_21_003_00,obs_wrf-s3cn_arw_20150602-0000_21_21_003,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-100.38555,46.18589,14.49356,58.17676,0.00000,12.72541,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_21_25_004_00,obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-102.44058,47.01456,15.33588,55.85840,0.00000,12.43191,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_21_25_004_01,obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-02 22:00:00,22.00000,22.00000,2.00000,-102.02256,46.89796,17.15831,45.87305,0.00000,11.72086,1.82243,-9.98535
obs_wrf-s3cn_arw_20150602-0000_21_25_004_02,obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-02 23:00:00,23.00000,23.00000,3.00000,-101.30623,46.66817,18.82772,48.41016,0.38184,12.47081,1.66941,2.53711
obs_wrf-s3cn_arw_20150602-0000_21_25_004_03,obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-03 00:00:00,24.00000,0.00000,4.00000,-100.81674,46.41966,23.53295,53.90723,0.92090,11.81654,4.70523,5.49707
obs_wrf-s3cn_arw_20150602-0000_21_25_004_04,obs_wrf-s3cn_arw_20150602-0000_21_25_004,2015-06-03 01:00:00,25.00000,1.00000,5.00000,-100.50481,46.14798,12.62876,36.02930,0.00000,7.34086,-10.90419,-17.87793
obs_wrf-s3cn_arw_20150602-0000_22_22_005_00,obs_wrf-s3cn_arw_20150602-0000_22_22_005,2015-06-02 22:00:00,22.00000,22.00000,1.00000,-83.57478,35.76376,12.72240,57.84375,0.00000,13.96737,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_22_22_006_00,obs_wrf-s3cn_arw_20150602-0000_22_22_006,2015-06-02 22:00:00,22.00000,22.00000,1.00000,-104.71183,42.35824,15.54327,58.17090,0.00000,12.42893,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_22_24_007_00,obs_wrf-s3cn_arw_20150602-0000_22_24_007,2015-06-02 22:00:00,22.00000,22.00000,1.00000,-104.05467,42.65764,13.73115,43.91113,0.00000,9.49006,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_22_24_007_01,obs_wrf-s3cn_arw_20150602-0000_22_24_007,2015-06-02 23:00:00,23.00000,23.00000,2.00000,-103.50830,42.55233,20.97620,43.67090,3.96680,9.88188,7.24505,-0.24023
obs_wrf-s3cn_arw_20150602-0000_22_24_007_02,obs_wrf-s3cn_arw_20150602-0000_22_24_007,2015-06-03 00:00:00,24.00000,0.00000,3.00000,-103.09083,42.45349,22.04197,47.90039,4.03711,8.05315,1.06577,4.22949
obs_wrf-s3cn_arw_20150602-0000_22_27_008_00,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-02 22:00:00,22.00000,22.00000,1.00000,-107.93842,45.33389,9.94799,34.40137,0.00000,8.49634,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_22_27_008_01,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-02 23:00:00,23.00000,23.00000,2.00000,-107.46871,45.21068,11.59937,40.31641,0.00000,7.99005,1.65139,5.91504
obs_wrf-s3cn_arw_20150602-0000_22_27_008_02,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-03 00:00:00,24.00000,0.00000,3.00000,-106.68320,45.12275,16.39740,38.03320,0.25195,8.42241,4.79803,-2.28320
obs_wrf-s3cn_arw_20150602-0000_22_27_008_03,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-03 01:00:00,25.00000,1.00000,4.00000,-106.07038,44.92270,18.34506,52.52930,3.04883,10.09060,1.94766,14.49609
obs_wrf-s3cn_arw_20150602-0000_22_27_008_04,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-03 02:00:00,26.00000,2.00000,5.00000,-105.53921,44.74620,13.10294,31.12109,0.00000,7.35620,-5.24212,-21.40820
obs_wrf-s3cn_arw_20150602-0000_22_27_008_05,obs_wrf-s3cn_arw_20150602-0000_22_27_008,2015-06-03 03:00:00,27.00000,3.00000,6.00000,-104.50488,44.30539,14.58217,37.24902,0.00000,8.60206,1.47923,6.12793
obs_wrf-s3cn_arw_20150602-0000_23_23_009_00,obs_wrf-s3cn_arw_20150602-0000_23_23_009,2015-06-02 23:00:00,23.00000,23.00000,1.00000,-79.16985,35.24777,11.47826,34.13086,1.77637,7.28899,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_24_24_010_00,obs_wrf-s3cn_arw_20150602-0000_24_24_010,2015-06-03 00:00:00,24.00000,0.00000,1.00000,-80.53164,35.92023,10.96930,31.00000,2.74316,6.88022,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_24_25_011_00,obs_wrf-s3cn_arw_20150602-0000_24_25_011,2015-06-03 00:00:00,24.00000,0.00000,1.00000,-102.33296,42.69372,15.43074,56.78809,0.00000,12.50010,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_24_25_011_01,obs_wrf-s3cn_arw_20150602-0000_24_25_011,2015-06-03 01:00:00,25.00000,1.00000,2.00000,-102.34986,42.63009,10.60817,20.97754,3.28613,4.37630,-4.82256,-35.81055
obs_wrf-s3cn_arw_20150602-0000_24_25_012_00,obs_wrf-s3cn_arw_20150602-0000_24_25_012,2015-06-03 00:00:00,24.00000,0.00000,1.00000,-106.72086,43.78515,11.69906,42.32910,0.00000,7.80414,0.00000,0.00000
obs_wrf-s3cn_arw_20150602-0000_24_25_012_01,obs_wrf-s3cn_arw_20150602-0000_24_25_012,2015-06-03 01:00:00,25.00000,1.00000,2.00000,-106.25211,43.68378,13.38298,37.79590,0.00000,9.69436,1.68393,-4.53320
obs_wrf-s3cn_arw_20150602-0000_25_26_013_00,obs_wrf-s3cn_arw_20150602-0000_25_26_013,2015-06-03 01:00:00,25.00000,1.00000,1.00000,-103.38386,41.80758,13.02509,36.22070,0.90820,7.81149,0.00000,0.00000
