Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 19:00:00,2015-05-21 00:00:00,6.00000,None
obs_wrf-s3cn_arw_20150520-0000_20_22_001,2015-05-20 20:00:00,2015-05-20 22:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_25_26_016
obs_wrf-s3cn_arw_20150520-0000_20_22_002,2015-05-20 20:00:00,2015-05-20 22:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_21_22_010
obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-20 20:00:00,2015-05-21 03:00:00,8.00000,None
obs_wrf-s3cn_arw_20150520-0000_21_22_004,2015-05-20 21:00:00,2015-05-20 22:00:00,2.00000,None
obs_wrf-s3cn_arw_20150520-0000_21_21_005,2015-05-20 21:00:00,2015-05-20 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_21_21_009
obs_wrf-s3cn_arw_20150520-0000_21_23_006,2015-05-20 21:00:00,2015-05-20 23:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_19_19_007
obs_wrf-s3cn_arw_20150520-0000_21_23_007,2015-05-20 21:00:00,2015-05-20 23:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_12_12_000
obs_wrf-s3cn_arw_20150520-0000_22_24_008,2015-05-20 22:00:00,2015-05-21 00:00:00,3.00000,None
obs_wrf-s3cn_arw_20150520-0000_22_25_009,2015-05-20 22:00:00,2015-05-21 01:00:00,4.00000,wrf-s3cn_arw_uh_max_20150520-0000_24_24_014
obs_wrf-s3cn_arw_20150520-0000_22_23_010,2015-05-20 22:00:00,2015-05-20 23:00:00,2.00000,wrf-s3cn_arw_uh_max_20150520-0000_21_22_011
obs_wrf-s3cn_arw_20150520-0000_22_22_011,2015-05-20 22:00:00,2015-05-20 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_12_12_002
obs_wrf-s3cn_arw_20150520-0000_23_23_012,2015-05-20 23:00:00,2015-05-20 23:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_23_23_013
obs_wrf-s3cn_arw_20150520-0000_23_23_013,2015-05-20 23:00:00,2015-05-20 23:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_21_21_012
obs_wrf-s3cn_arw_20150520-0000_23_23_014,2015-05-20 23:00:00,2015-05-20 23:00:00,1.00000,None
obs_wrf-s3cn_arw_20150520-0000_23_25_015,2015-05-20 23:00:00,2015-05-21 01:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_20_21_008
obs_wrf-s3cn_arw_20150520-0000_24_24_016,2015-05-21 00:00:00,2015-05-21 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_24_24_015
obs_wrf-s3cn_arw_20150520-0000_24_27_017,2015-05-21 00:00:00,2015-05-21 03:00:00,4.00000,None
obs_wrf-s3cn_arw_20150520-0000_25_25_018,2015-05-21 01:00:00,2015-05-21 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_26_26_017
obs_wrf-s3cn_arw_20150520-0000_27_27_019,2015-05-21 03:00:00,2015-05-21 03:00:00,1.00000,wrf-s3cn_arw_uh_max_20150520-0000_27_27_020
obs_wrf-s3cn_arw_20150520-0000_28_30_020,2015-05-21 04:00:00,2015-05-21 06:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_27_29_018
obs_wrf-s3cn_arw_20150520-0000_28_29_021,2015-05-21 04:00:00,2015-05-21 05:00:00,2.00000,None
obs_wrf-s3cn_arw_20150520-0000_29_30_022,2015-05-21 05:00:00,2015-05-21 06:00:00,2.00000,wrf-s3cn_arw_uh_max_20150520-0000_27_28_019
obs_wrf-s3cn_arw_20150520-0000_29_29_023,2015-05-21 05:00:00,2015-05-21 05:00:00,1.00000,None
obs_wrf-s3cn_arw_20150520-0000_29_29_024,2015-05-21 05:00:00,2015-05-21 05:00:00,1.00000,None
obs_wrf-s3cn_arw_20150520-0000_30_30_025,2015-05-21 06:00:00,2015-05-21 06:00:00,1.00000,None
obs_wrf-s3cn_arw_20150520-0000_32_35_026,2015-05-21 08:00:00,2015-05-21 11:00:00,4.00000,None
obs_wrf-s3cn_arw_20150520-0000_34_36_027,2015-05-21 10:00:00,2015-05-21 12:00:00,3.00000,wrf-s3cn_arw_uh_max_20150520-0000_33_35_022
