Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150528-0000_12_12_000,2015-05-28 12:00:00,2015-05-28 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150528-0000_12_12_001,2015-05-28 12:00:00,2015-05-28 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_22_017,-66455.36823,154272.26439,-9.00000,-10.00000
wrf-s3cn_arw_uh_max_20150528-0000_14_14_002,2015-05-28 14:00:00,2015-05-28 14:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_13_13_001,-122011.19900,226509.39039,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_17_17_003,2015-05-28 17:00:00,2015-05-28 17:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_12_12_000,45032.10365,83759.57576,5.00000,5.00000
wrf-s3cn_arw_uh_max_20150528-0000_18_19_004,2015-05-28 18:00:00,2015-05-28 19:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_13_14_002,82342.77771,189477.04822,5.00000,5.00000
wrf-s3cn_arw_uh_max_20150528-0000_18_19_005,2015-05-28 18:00:00,2015-05-28 19:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_028,15565.36798,90763.00849,-3.00000,-2.00000
wrf-s3cn_arw_uh_max_20150528-0000_19_20_006,2015-05-28 19:00:00,2015-05-28 20:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_18_19_005,-142538.92129,233678.91144,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_19_22_007,2015-05-28 19:00:00,2015-05-28 22:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_19_22_009,-209077.59640,370949.17974,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_19_21_008,2015-05-28 19:00:00,2015-05-28 21:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_19_19_010,-150703.80404,-226286.40188,0.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_20_20_009,2015-05-28 20:00:00,2015-05-28 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_020,135255.14221,56620.61300,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_20_22_010,2015-05-28 20:00:00,2015-05-28 22:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_22_015,-197141.56719,-119623.99463,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_20_21_011,2015-05-28 20:00:00,2015-05-28 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_027,4190.46209,-361663.96449,-1.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_20_20_012,2015-05-28 20:00:00,2015-05-28 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_023,-9468.40331,-41424.35721,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_20_22_013,2015-05-28 20:00:00,2015-05-28 22:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_20_016,-352978.86863,-342020.64239,0.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_22_014,2015-05-28 21:00:00,2015-05-28 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_19_22_008,41769.45441,4857.18119,2.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_23_015,2015-05-28 21:00:00,2015-05-28 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_22_012,-50006.28795,46057.46453,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_21_016,2015-05-28 21:00:00,2015-05-28 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_019,120345.26800,-3351.72034,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_22_017,2015-05-28 21:00:00,2015-05-28 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_21_013,379212.06036,121680.03615,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_21_018,2015-05-28 21:00:00,2015-05-28 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150528-0000_21_21_019,2015-05-28 21:00:00,2015-05-28 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_20_014,65.37006,224877.78420,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_21_23_020,2015-05-28 21:00:00,2015-05-28 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_22_029,107136.75797,175337.61924,0.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_23_021,2015-05-28 22:00:00,2015-05-28 23:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_20_22_011,116891.26552,7561.31972,2.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_22_022,2015-05-28 22:00:00,2015-05-28 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_034,248170.50669,89852.82533,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_23_023,2015-05-28 22:00:00,2015-05-28 23:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150528-0000_22_22_024,2015-05-28 22:00:00,2015-05-28 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_15_15_003,-51769.63283,103060.79031,7.00000,7.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_23_025,2015-05-28 22:00:00,2015-05-28 23:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_036,32613.91102,-115964.46105,0.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_24_026,2015-05-28 22:00:00,2015-05-29 00:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_039,-13463.48240,28906.75815,0.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_23_027,2015-05-28 22:00:00,2015-05-28 23:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_22_022,-11239.41826,27812.47052,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_22_028,2015-05-28 22:00:00,2015-05-28 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_024,97710.41942,9100.07365,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_22_22_029,2015-05-28 22:00:00,2015-05-28 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_026,-16888.26975,141039.66943,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_25_030,2015-05-28 23:00:00,2015-05-29 01:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_18_22_006,-28196.01896,-3113.70208,5.00000,3.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_23_031,2015-05-28 23:00:00,2015-05-28 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_033,-162209.75273,109675.54788,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_23_032,2015-05-28 23:00:00,2015-05-28 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_035,-1083.41329,46132.64737,1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_24_033,2015-05-28 23:00:00,2015-05-29 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_21_018,-111653.76806,104004.39879,2.00000,3.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_24_034,2015-05-28 23:00:00,2015-05-29 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_17_18_004,47662.51774,92646.15876,6.00000,6.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_24_035,2015-05-28 23:00:00,2015-05-29 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_22_021,75470.17317,-96785.60012,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_24_036,2015-05-28 23:00:00,2015-05-29 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_21_22_025,31271.86407,3245.02995,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_23_26_037,2015-05-28 23:00:00,2015-05-29 02:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_26_054,-300282.98746,-323299.14076,-2.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_27_038,2015-05-29 00:00:00,2015-05-29 03:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_28_042,78708.93817,-428879.25942,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_29_039,2015-05-29 00:00:00,2015-05-29 05:00:00,6.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_28_043,11501.14568,41415.59568,-1.00000,1.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_25_040,2015-05-29 00:00:00,2015-05-29 01:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_26_044,-53376.55269,26057.46337,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_24_041,2015-05-29 00:00:00,2015-05-29 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_030,131658.23688,332659.69032,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_24_042,2015-05-29 00:00:00,2015-05-29 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_032,-180668.49279,207366.82329,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150528-0000_24_30_043,2015-05-29 00:00:00,2015-05-29 06:00:00,7.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150528-0000_24_25_044,2015-05-29 00:00:00,2015-05-29 01:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_037,44058.73276,-69550.70201,2.00000,3.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_25_045,2015-05-29 01:00:00,2015-05-29 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_26_26_058,4111.15188,34222.38975,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_25_046,2015-05-29 01:00:00,2015-05-29 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_26_26_055,50336.74947,584378.44465,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_25_047,2015-05-29 01:00:00,2015-05-29 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_26_26_057,130363.17735,451480.55113,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_25_048,2015-05-29 01:00:00,2015-05-29 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_22_22_031,-46047.19062,206270.23781,3.00000,3.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_26_049,2015-05-29 01:00:00,2015-05-29 02:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_26_049,176220.19264,-49746.02071,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_26_050,2015-05-29 01:00:00,2015-05-29 02:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_18_20_007,18889.54456,34281.39511,7.00000,6.00000
wrf-s3cn_arw_uh_max_20150528-0000_25_25_051,2015-05-29 01:00:00,2015-05-29 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150528-0000_25_25_050,30979.00172,-14788.18429,0.00000,0.00000
