Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150527-0000_12_12_000_00,obs_wrf-s3cn_arw_20150527-0000_12_12_000,2015-05-27 12:00:00,12.00000,12.00000,1.00000,-92.93309,31.09187,7.86482,20.07422,0.49219,3.57034,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_12_12_001_00,obs_wrf-s3cn_arw_20150527-0000_12_12_001,2015-05-27 12:00:00,12.00000,12.00000,1.00000,-92.83728,31.55124,8.82137,19.03125,0.54785,4.23122,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_12_12_002_00,obs_wrf-s3cn_arw_20150527-0000_12_12_002,2015-05-27 12:00:00,12.00000,12.00000,1.00000,-90.58312,37.52652,10.77242,25.60742,0.81641,5.47178,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_15_16_003_00,obs_wrf-s3cn_arw_20150527-0000_15_16_003,2015-05-27 15:00:00,15.00000,15.00000,1.00000,-91.77506,29.94360,10.01288,23.25977,0.23633,5.64325,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_15_16_003_01,obs_wrf-s3cn_arw_20150527-0000_15_16_003,2015-05-27 16:00:00,16.00000,16.00000,2.00000,-91.08633,29.71376,9.64081,20.84375,0.00000,4.72298,-0.37207,-2.41602
obs_wrf-s3cn_arw_20150527-0000_17_17_004_00,obs_wrf-s3cn_arw_20150527-0000_17_17_004,2015-05-27 17:00:00,17.00000,17.00000,1.00000,-86.92056,37.97578,12.25765,25.98047,0.00000,5.91604,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_19_19_005_00,obs_wrf-s3cn_arw_20150527-0000_19_19_005,2015-05-27 19:00:00,19.00000,19.00000,1.00000,-84.18346,42.39708,13.98169,30.23926,0.14551,7.65554,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_20_23_006_00,obs_wrf-s3cn_arw_20150527-0000_20_23_006,2015-05-27 20:00:00,20.00000,20.00000,1.00000,-101.12207,39.01521,12.08688,53.06543,0.00000,11.26932,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_20_23_006_01,obs_wrf-s3cn_arw_20150527-0000_20_23_006,2015-05-27 21:00:00,21.00000,21.00000,2.00000,-100.93835,38.78096,13.34346,44.15234,0.02148,8.75844,1.25658,-8.91309
obs_wrf-s3cn_arw_20150527-0000_20_23_006_02,obs_wrf-s3cn_arw_20150527-0000_20_23_006,2015-05-27 22:00:00,22.00000,22.00000,3.00000,-100.85687,38.86754,10.66972,41.80371,0.00000,8.89876,-2.67373,-2.34863
obs_wrf-s3cn_arw_20150527-0000_20_23_006_03,obs_wrf-s3cn_arw_20150527-0000_20_23_006,2015-05-27 23:00:00,23.00000,23.00000,4.00000,-100.88943,38.48818,10.44121,35.93555,0.00000,7.75815,-0.22851,-5.86816
obs_wrf-s3cn_arw_20150527-0000_20_20_007_00,obs_wrf-s3cn_arw_20150527-0000_20_20_007,2015-05-27 20:00:00,20.00000,20.00000,1.00000,-110.17991,40.00884,14.06647,34.63672,0.00000,9.12473,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_20_20_008_00,obs_wrf-s3cn_arw_20150527-0000_20_20_008,2015-05-27 20:00:00,20.00000,20.00000,1.00000,-83.94510,41.27560,12.03293,28.60742,0.80371,6.65205,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_21_24_009_00,obs_wrf-s3cn_arw_20150527-0000_21_24_009,2015-05-27 21:00:00,21.00000,21.00000,1.00000,-102.52508,27.54826,12.35646,36.12109,0.00000,10.72825,0.00000,0.00000
obs_wrf-s3cn_arw_20150527-0000_21_24_009_01,obs_wrf-s3cn_arw_20150527-0000_21_24_009,2015-05-27 22:00:00,22.00000,22.00000,2.00000,-102.38690,27.40513,20.33469,49.91016,0.15820,12.35558,7.97822,13.78906
obs_wrf-s3cn_arw_20150527-0000_21_24_009_02,obs_wrf-s3cn_arw_20150527-0000_21_24_009,2015-05-27 23:00:00,23.00000,23.00000,3.00000,-102.38006,27.17379,23.08996,96.50684,0.00000,23.32484,2.75527,46.59668
