Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150526-0000_15_15_000_00,obs_wrf-s3cn_arw_20150526-0000_15_15_000,2015-05-26 15:00:00,15.00000,15.00000,1.00000,-91.35925,26.82118,10.34828,31.02832,0.00000,6.85177,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_19_20_001_00,obs_wrf-s3cn_arw_20150526-0000_19_20_001,2015-05-26 19:00:00,19.00000,19.00000,1.00000,-101.91745,29.60597,13.64935,46.27148,0.00000,12.38435,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_19_20_001_01,obs_wrf-s3cn_arw_20150526-0000_19_20_001,2015-05-26 20:00:00,20.00000,20.00000,2.00000,-101.88195,29.55090,14.17967,46.53125,0.00000,8.68819,0.53032,0.25977
obs_wrf-s3cn_arw_20150526-0000_20_20_002_00,obs_wrf-s3cn_arw_20150526-0000_20_20_002,2015-05-26 20:00:00,20.00000,20.00000,1.00000,-84.97065,32.61805,9.26727,35.31445,0.10547,6.57042,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_20_20_003_00,obs_wrf-s3cn_arw_20150526-0000_20_20_003,2015-05-26 20:00:00,20.00000,20.00000,1.00000,-84.66273,32.90864,11.82219,32.26367,2.10059,6.97858,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_20_20_004_00,obs_wrf-s3cn_arw_20150526-0000_20_20_004,2015-05-26 20:00:00,20.00000,20.00000,1.00000,-97.59732,35.34534,13.81533,26.93750,1.99219,6.15715,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_24_25_005_00,obs_wrf-s3cn_arw_20150526-0000_24_25_005,2015-05-27 00:00:00,24.00000,0.00000,1.00000,-101.29643,26.80330,16.21727,57.30176,0.00000,11.81454,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_24_25_005_01,obs_wrf-s3cn_arw_20150526-0000_24_25_005,2015-05-27 01:00:00,25.00000,1.00000,2.00000,-101.24649,26.63962,13.70636,38.58496,0.32031,10.23374,-2.51091,-18.71680
obs_wrf-s3cn_arw_20150526-0000_24_25_006_00,obs_wrf-s3cn_arw_20150526-0000_24_25_006,2015-05-27 00:00:00,24.00000,0.00000,1.00000,-102.07078,27.68407,17.03576,89.40234,0.00000,21.06818,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_24_25_006_01,obs_wrf-s3cn_arw_20150526-0000_24_25_006,2015-05-27 01:00:00,25.00000,1.00000,2.00000,-101.96721,27.59726,15.22569,64.62305,0.00000,16.45301,-1.81007,-24.77930
obs_wrf-s3cn_arw_20150526-0000_24_25_007_00,obs_wrf-s3cn_arw_20150526-0000_24_25_007,2015-05-27 00:00:00,24.00000,0.00000,1.00000,-102.12455,28.26729,16.72313,55.87695,0.00000,15.65694,0.00000,0.00000
obs_wrf-s3cn_arw_20150526-0000_24_25_007_01,obs_wrf-s3cn_arw_20150526-0000_24_25_007,2015-05-27 01:00:00,25.00000,1.00000,2.00000,-101.96815,28.12350,14.22252,60.28320,0.00000,14.08432,-2.50061,4.40625
