Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_00,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 12:00:00,12.00000,12.00000,1.00000,-96.55927,28.42064,47.70920,139.16458,0.21842,37.14675,0.00000,0.00000,58.38446,68.08334,31.38188,9.93085,0.00000,0.00000,15.51759,26.44300,2.58951,5.68963,0.00000,0.00000,16.40743,37.42851,0.60772,11.65975,0.00000,0.00000,-5.94294,-3.29347,-10.60778,1.50987,0.00000,0.00000,707.78918,1425.81653,33.12638,336.48016,0.00000,0.00000,-77.14374,-25.18728,-182.51141,42.66776,0.00000,0.00000,226.61557,382.09338,56.58633,101.58187,0.00000,0.00000,491.05710,911.98029,141.48131,179.84068,0.00000,0.00000,0.00495,0.00773,0.00244,0.00135,0.00000,0.00000,-8.97365,-4.35693,-13.00209,2.02079,0.00000,0.00000,8.22038,9.49481,6.81872,0.72163,0.00000,0.00000,72.44274,75.94020,70.95867,1.67130,0.00000,0.00000,74.32368,77.91527,71.41960,2.13167,0.00000,0.00000,13.36575,14.75297,11.87687,0.68315,0.00000,0.00000,2.61115,5.29956,0.46748,1.50964,0.00000,0.00000,-4.82536,-3.93207,-5.77139,0.50873,0.00000,0.00000,-6.40866,-5.07309,-8.09285,0.78552,0.00000,0.00000,46.27148
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_01,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 13:00:00,13.00000,13.00000,2.00000,-96.47804,28.39183,48.46254,170.78146,0.00000,44.32601,0.75334,31.61688,51.71490,72.17168,11.92217,17.75170,-6.66956,4.08833,13.94485,24.30040,3.18300,5.21414,-1.57274,-2.14260,15.24700,51.44032,0.24459,15.07694,-1.16043,14.01181,-5.67319,-2.33671,-13.57190,2.65148,0.26975,0.95675,719.52496,1314.76624,0.00000,369.04538,11.73578,-111.05029,-49.68644,-1.62209,-199.81094,59.52670,27.45730,23.56519,322.76114,479.60739,40.09813,126.89779,96.14557,97.51401,508.31677,785.57214,264.82614,131.64328,17.25967,-126.40814,0.00531,0.00764,0.00251,0.00129,0.00036,-0.00008,-8.23676,-4.29657,-11.10969,1.54451,0.73689,0.06036,7.72606,8.99157,6.33620,0.71211,-0.49432,-0.50324,73.31131,75.70751,70.08696,1.99754,0.86857,-0.23269,76.11733,78.58170,70.65891,2.61955,1.79365,0.66644,12.83740,13.59084,11.52373,0.44483,-0.52835,-1.16213,3.16765,5.32995,0.61159,1.24384,0.55650,0.03039,-5.32288,-4.00496,-6.04874,0.63204,-0.49752,-0.07290,-5.93607,-4.74237,-6.96702,0.53336,0.47258,0.33072,46.27148
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_02,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 14:00:00,14.00000,14.00000,3.00000,-96.61357,28.35296,53.27530,239.59616,0.06276,61.64006,4.81276,68.81470,47.39799,72.75220,0.00000,20.05414,-4.31691,0.58053,12.00375,28.76469,1.18920,6.89809,-1.94110,4.46430,12.39674,53.38475,0.01606,13.89604,-2.85026,1.94443,-4.88322,-0.95804,-10.68664,2.16073,0.78998,1.37867,870.48956,1890.23889,348.58142,354.34189,150.96460,575.47266,-66.60329,0.00000,-222.92897,53.73093,-16.91685,1.62209,166.26450,426.70901,32.16442,105.60422,-156.49664,-52.89838,522.64130,988.11627,58.27025,211.85851,14.32452,202.54413,0.00530,0.00767,0.00207,0.00114,-0.00001,0.00002,-8.85864,-5.26752,-11.49400,1.36309,-0.62188,-0.97095,7.51032,8.93570,6.23682,0.67744,-0.21574,-0.05586,72.65530,76.09401,69.69991,2.47119,-0.65601,0.38650,74.19946,78.86004,70.52686,2.90405,-1.91788,0.27834,13.32112,13.98039,12.17878,0.39224,0.48371,0.38955,1.90413,4.92023,0.35189,1.46064,-1.26351,-0.40972,-5.01284,-3.99636,-6.02797,0.59539,0.31005,0.00861,-6.08876,-4.39786,-7.27637,0.62767,-0.15269,0.34451,46.27148
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_03,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 15:00:00,15.00000,15.00000,4.00000,-96.48150,28.29286,56.69060,208.06490,0.00000,61.77091,3.41531,-31.53127,50.32868,71.52002,0.00000,19.00389,2.93069,-1.23219,13.20753,28.44791,2.51020,6.58691,1.20378,-0.31679,14.82177,52.67321,0.01571,15.14617,2.42503,-0.71154,-5.57607,-1.48842,-11.58075,2.46218,-0.69286,-0.53037,1240.32117,1863.82043,0.00000,506.61356,369.83160,-26.41846,-33.83960,0.00000,-311.02243,72.22603,32.76370,0.00000,288.95432,403.00586,24.22473,127.91755,122.68982,-23.70316,391.15320,892.67255,88.20107,151.20041,-131.48810,-95.44373,0.00521,0.00818,0.00105,0.00144,-0.00009,0.00051,-8.79379,-4.42016,-11.79179,1.59295,0.06485,0.84736,7.73277,8.82639,6.02637,0.59765,0.22246,-0.10931,74.98442,76.35500,69.33638,1.93029,2.32912,0.26099,77.23897,79.19221,69.37703,2.95101,3.03951,0.33218,12.15110,13.53796,9.70942,0.99246,-1.17002,-0.44243,1.87050,5.27387,0.33776,1.66794,-0.03364,0.35364,-5.49960,-3.89228,-6.32840,0.60621,-0.48676,0.10407,-6.15532,-4.75512,-7.13006,0.60256,-0.06656,-0.35726,46.27148
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_04,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 16:00:00,16.00000,16.00000,5.00000,-96.38798,28.25825,48.23183,149.85085,0.23225,41.21233,-8.45877,-58.21405,55.18779,69.24084,40.10690,8.59479,4.85910,-2.27918,13.72693,23.77930,1.80989,5.91114,0.51940,-4.66861,11.49950,39.29060,2.01395,10.65591,-3.32227,-13.38261,-5.17075,-2.59737,-10.12651,1.75738,0.40532,-1.10896,1087.94690,2030.93494,309.04288,473.18097,-152.37427,167.11450,-41.68707,0.00000,-174.10622,57.76889,-7.84747,0.00000,243.11345,437.39755,26.50482,148.21820,-45.84087,34.39169,549.13580,1122.86914,212.47112,244.95763,157.98260,230.19659,0.00515,0.00830,0.00243,0.00167,-0.00006,0.00012,-8.71272,-4.69812,-13.73729,2.05640,0.08107,-0.27796,7.49470,8.80435,6.22622,0.73595,-0.23807,-0.02204,74.54581,75.99799,72.37218,1.04917,-0.43861,-0.35700,76.45950,79.07823,72.37218,2.41885,-0.77947,-0.11398,12.37271,13.75556,9.84391,1.17498,0.22161,0.21760,3.04570,5.16120,1.17127,1.14553,1.17520,-0.11267,-5.45910,-4.37311,-6.17446,0.61433,0.04050,-0.48082,-6.03641,-4.65138,-7.64588,0.78299,0.11891,0.10373,46.53125
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_05,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 17:00:00,17.00000,17.00000,6.00000,-96.58684,28.14117,49.80397,153.11363,0.00000,43.09394,1.57214,3.26279,51.10836,69.47808,8.58588,17.59204,-4.07943,0.23724,14.72199,26.49571,2.61856,6.42296,0.99507,2.71641,12.71065,39.76574,0.02430,10.94916,1.21115,0.47514,-5.99733,-1.98299,-11.23281,1.87497,-0.82658,0.61438,1851.71655,2464.40649,1215.18188,298.78021,763.76965,433.47156,-5.57540,0.00000,-39.13679,8.89913,36.11167,0.00000,230.51498,364.77283,123.07443,75.30554,-12.59846,-72.62473,347.47620,525.13831,107.91447,82.78450,-201.65961,-597.73083,0.00516,0.00640,0.00409,0.00051,0.00001,-0.00190,-8.00627,-4.93431,-9.79704,1.05701,0.70645,-0.23618,8.38368,9.69312,7.11341,0.66114,0.88898,0.88878,76.25715,77.21632,75.13370,0.52137,1.71133,1.21833,78.10561,79.45198,76.43256,0.94566,1.64612,0.37375,13.60303,14.71597,12.45892,0.44716,1.23032,0.96041,2.58471,5.07546,0.42795,1.51121,-0.46099,-0.08574,-5.44227,-4.77589,-5.92397,0.30912,0.01683,-0.40278,-6.07925,-5.06440,-6.73289,0.41935,-0.04284,-0.41302,46.53125
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000_06,wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 18:00:00,18.00000,18.00000,7.00000,-96.52417,28.08652,53.75960,177.49261,0.00000,51.61641,3.95563,24.37898,54.87685,71.62828,19.72314,13.14895,3.76849,2.15020,14.45307,28.88486,1.79035,6.72436,-0.26892,2.38915,13.99149,43.28463,0.00511,12.86433,1.28084,3.51889,-6.20588,-2.62507,-12.03712,2.12749,-0.20855,-0.64207,1929.93384,2757.16675,577.23596,549.76056,78.21729,292.76025,-17.36256,0.00000,-169.28802,40.04319,-11.78716,0.00000,275.40179,374.87909,33.10426,91.36935,44.88681,10.10626,341.23276,503.14395,110.99511,100.46252,-6.24344,-21.99435,0.00502,0.00800,0.00148,0.00148,-0.00014,0.00160,-8.68677,-3.05582,-11.30105,1.65534,-0.68050,1.87848,8.49966,10.36544,6.32342,1.11266,0.11598,0.67232,76.60155,77.50005,73.95931,0.73784,0.34440,0.28372,78.77813,79.90303,74.49314,1.36457,0.67252,0.45105,13.00746,14.47461,10.41031,0.85317,-0.59558,-0.24136,2.11670,5.82869,0.41325,1.64195,-0.46801,0.75323,-5.51552,-4.41452,-6.25650,0.45354,-0.07325,0.36137,-6.39087,-4.79336,-7.58932,0.74035,-0.31162,0.27104,46.53125
wrf-s3cn_arw_uh_max_20150526-0000_12_12_001_00,wrf-s3cn_arw_uh_max_20150526-0000_12_12_001,2015-05-26 12:00:00,12.00000,12.00000,1.00000,-90.02170,32.41358,29.14531,39.33966,17.18989,5.99853,0.00000,0.00000,42.71204,59.75791,26.22175,6.50403,0.00000,0.00000,8.20870,17.62088,5.05499,2.33350,0.00000,0.00000,3.33404,12.35004,0.57464,1.84572,0.00000,0.00000,-3.30849,-2.22785,-4.39958,0.57307,0.00000,0.00000,655.27686,1116.96387,0.00000,397.12070,0.00000,0.00000,-70.12589,-6.22049,-524.96173,117.46915,0.00000,0.00000,188.13579,222.41742,155.82950,15.42770,0.00000,0.00000,116.28152,206.91995,17.59612,60.68449,0.00000,0.00000,0.00317,0.00427,0.00254,0.00045,0.00000,0.00000,-9.50661,-6.89706,-10.18382,0.65057,0.00000,0.00000,5.44587,6.44631,4.35234,0.51364,0.00000,0.00000,69.50455,72.19304,65.03226,1.72268,0.00000,0.00000,70.35315,73.19598,65.98473,1.77454,0.00000,0.00000,11.87449,12.97988,10.27810,0.68845,0.00000,0.00000,2.66287,4.27419,1.44418,0.63195,0.00000,0.00000,-5.16404,-4.42713,-5.91637,0.33268,0.00000,0.00000,-5.59517,-4.95874,-6.04556,0.34376,0.00000,0.00000,42.84961
wrf-s3cn_arw_uh_max_20150526-0000_13_13_002_00,wrf-s3cn_arw_uh_max_20150526-0000_13_13_002,2015-05-26 13:00:00,13.00000,13.00000,1.00000,-89.77837,31.32447,32.30942,55.56683,11.17273,11.55124,0.00000,0.00000,54.01952,65.61891,38.69349,5.35256,0.00000,0.00000,12.33149,23.56248,4.22601,4.83356,0.00000,0.00000,8.41820,20.15893,1.91642,4.40420,0.00000,0.00000,-3.59742,-1.70043,-6.58003,1.16686,0.00000,0.00000,1588.84290,1967.55786,1118.01868,203.72124,0.00000,0.00000,-6.75839,0.00000,-38.00373,8.02895,0.00000,0.00000,186.54733,227.16167,120.13800,28.22437,0.00000,0.00000,124.62469,165.63275,17.65536,31.34816,0.00000,0.00000,0.00258,0.00302,0.00223,0.00021,0.00000,0.00000,-9.40457,-8.30395,-10.11143,0.36995,0.00000,0.00000,5.92931,6.90895,4.89649,0.51377,0.00000,0.00000,73.20580,73.78985,72.40524,0.33090,0.00000,0.00000,74.13126,75.26234,72.71610,0.61634,0.00000,0.00000,11.14166,12.31853,9.86363,0.59138,0.00000,0.00000,1.98493,3.61809,0.72752,0.99676,0.00000,0.00000,-5.65683,-5.35152,-6.04637,0.16195,0.00000,0.00000,-5.72573,-4.92401,-6.29124,0.30223,0.00000,0.00000,31.02832
wrf-s3cn_arw_uh_max_20150526-0000_17_18_003_00,wrf-s3cn_arw_uh_max_20150526-0000_17_18_003,2015-05-26 17:00:00,17.00000,17.00000,1.00000,-89.57444,41.97692,36.97045,54.72051,12.05450,11.37991,0.00000,0.00000,43.80728,55.39904,32.35836,7.63436,0.00000,0.00000,9.32011,13.87105,5.44386,2.41726,0.00000,0.00000,4.54094,11.84443,1.01607,3.01251,0.00000,0.00000,-2.11031,-1.01287,-3.80368,0.56343,0.00000,0.00000,215.87241,445.32812,91.30568,93.12066,0.00000,0.00000,-38.70449,-3.81267,-69.10770,18.09059,0.00000,0.00000,697.38177,886.18518,422.03595,122.50329,0.00000,0.00000,264.23740,330.44693,187.97531,37.85377,0.00000,0.00000,0.00522,0.00570,0.00451,0.00035,0.00000,0.00000,-9.39021,-8.63374,-10.13604,0.39243,0.00000,0.00000,3.10255,3.99262,2.50411,0.40630,0.00000,0.00000,64.84824,67.18718,63.30181,1.23968,0.00000,0.00000,70.08771,72.90468,67.51660,1.73840,0.00000,0.00000,10.85260,12.09863,9.89505,0.41705,0.00000,0.00000,3.36904,3.67984,3.20051,0.13970,0.00000,0.00000,-6.38765,-5.75744,-6.97671,0.36030,0.00000,0.00000,-4.69414,-4.23131,-5.27299,0.24179,0.00000,0.00000,80.23438
