Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150525-0000_24_25_040_01,obs_wrf-s3cn_arw_20150525-0000_24_25_040,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-96.59916,29.99666,14.46886,28.55664,3.80176,4.82300,4.21779,1.46191
obs_wrf-s3cn_arw_20150525-0000_24_24_041_00,obs_wrf-s3cn_arw_20150525-0000_24_24_041,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-97.15647,30.00830,11.71235,29.39355,1.24414,6.86795,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_24_042_00,obs_wrf-s3cn_arw_20150525-0000_24_24_042,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-96.71945,30.43693,7.30067,12.19141,3.85059,1.89583,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_043_00,obs_wrf-s3cn_arw_20150525-0000_24_25_043,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-96.11408,30.52106,17.40280,38.79688,5.85156,6.06144,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_043_01,obs_wrf-s3cn_arw_20150525-0000_24_25_043,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-95.81484,30.54050,15.43011,24.84180,7.04980,4.00252,-1.97269,-13.95508
obs_wrf-s3cn_arw_20150525-0000_24_25_044_00,obs_wrf-s3cn_arw_20150525-0000_24_25_044,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-95.56477,31.33123,9.43911,23.25000,3.73926,3.16457,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_25_044_01,obs_wrf-s3cn_arw_20150525-0000_24_25_044,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-94.86304,31.35000,8.44547,15.52051,2.57129,2.91125,-0.99364,-7.72949
obs_wrf-s3cn_arw_20150525-0000_24_24_045_00,obs_wrf-s3cn_arw_20150525-0000_24_24_045,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-92.39799,33.21452,11.39029,29.28711,0.00000,6.08056,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_24_046_00,obs_wrf-s3cn_arw_20150525-0000_24_24_046,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-93.25952,33.32202,10.41035,24.66797,1.01172,5.11164,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_26_047_00,obs_wrf-s3cn_arw_20150525-0000_24_26_047,2015-05-26 00:00:00,24.00000,0.00000,1.00000,-94.22764,34.45681,11.10787,27.95996,1.79102,4.42875,0.00000,0.00000
obs_wrf-s3cn_arw_20150525-0000_24_26_047_01,obs_wrf-s3cn_arw_20150525-0000_24_26_047,2015-05-26 01:00:00,25.00000,1.00000,2.00000,-93.29954,33.79602,11.05056,32.05859,1.48828,5.61643,-0.05730,4.09863
