Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150521-0000_12_14_000_00,obs_wrf-s3cn_arw_20150521-0000_12_14_000,2015-05-21 12:00:00,12.00000,12.00000,1.00000,-99.92737,27.61928,13.92181,38.79688,3.47656,6.83345,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_12_14_000_01,obs_wrf-s3cn_arw_20150521-0000_12_14_000,2015-05-21 13:00:00,13.00000,13.00000,2.00000,-99.57147,27.29467,20.08415,35.60938,5.37500,6.06398,6.16234,-3.18750
obs_wrf-s3cn_arw_20150521-0000_12_14_000_02,obs_wrf-s3cn_arw_20150521-0000_12_14_000,2015-05-21 14:00:00,14.00000,14.00000,3.00000,-99.30771,26.98208,17.81659,42.05664,5.54785,6.69364,-2.26755,6.44727
obs_wrf-s3cn_arw_20150521-0000_15_16_001_00,obs_wrf-s3cn_arw_20150521-0000_15_16_001,2015-05-21 15:00:00,15.00000,15.00000,1.00000,-99.34595,26.57063,7.71200,14.86914,1.49707,3.21886,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_15_16_001_01,obs_wrf-s3cn_arw_20150521-0000_15_16_001,2015-05-21 16:00:00,16.00000,16.00000,2.00000,-99.68436,26.05139,10.24900,25.41797,1.92285,6.14276,2.53701,10.54883
obs_wrf-s3cn_arw_20150521-0000_16_17_002_00,obs_wrf-s3cn_arw_20150521-0000_16_17_002,2015-05-21 16:00:00,16.00000,16.00000,1.00000,-98.99411,26.24736,8.20055,24.29297,1.75781,3.85989,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_16_17_002_01,obs_wrf-s3cn_arw_20150521-0000_16_17_002,2015-05-21 17:00:00,17.00000,17.00000,2.00000,-98.74218,26.00375,10.03530,32.41211,0.00000,6.49578,1.83475,8.11914
obs_wrf-s3cn_arw_20150521-0000_19_23_003_00,obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 19:00:00,19.00000,19.00000,1.00000,-98.27123,24.68575,10.87468,22.69238,2.09473,5.36364,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_19_23_003_01,obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 20:00:00,20.00000,20.00000,2.00000,-98.26083,24.38140,14.50612,42.38965,0.00000,9.73496,3.63144,19.69727
obs_wrf-s3cn_arw_20150521-0000_19_23_003_02,obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 21:00:00,21.00000,21.00000,3.00000,-98.35608,24.10019,18.63061,46.20117,0.63086,9.83147,4.12449,3.81152
obs_wrf-s3cn_arw_20150521-0000_19_23_003_03,obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 22:00:00,22.00000,22.00000,4.00000,-98.32178,23.71097,18.37687,60.71289,1.61328,9.88588,-0.25374,14.51172
obs_wrf-s3cn_arw_20150521-0000_19_23_003_04,obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 23:00:00,23.00000,23.00000,5.00000,-98.27754,23.42815,10.56219,18.69727,4.37305,3.68928,-7.81468,-42.01562
obs_wrf-s3cn_arw_20150521-0000_19_19_004_00,obs_wrf-s3cn_arw_20150521-0000_19_19_004,2015-05-21 19:00:00,19.00000,19.00000,1.00000,-97.83674,25.70452,9.76835,39.82227,0.00000,6.41497,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_20_21_005_00,obs_wrf-s3cn_arw_20150521-0000_20_21_005,2015-05-21 20:00:00,20.00000,20.00000,1.00000,-103.81936,29.10542,14.30556,41.74805,0.00000,9.99626,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_20_21_005_01,obs_wrf-s3cn_arw_20150521-0000_20_21_005,2015-05-21 21:00:00,21.00000,21.00000,2.00000,-103.71627,29.09045,15.02838,41.58984,2.66406,9.33789,0.72282,-0.15820
obs_wrf-s3cn_arw_20150521-0000_20_20_006_00,obs_wrf-s3cn_arw_20150521-0000_20_20_006,2015-05-21 20:00:00,20.00000,20.00000,1.00000,-90.47697,31.09599,11.56095,34.84375,0.00000,8.23244,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_20_20_007_00,obs_wrf-s3cn_arw_20150521-0000_20_20_007,2015-05-21 20:00:00,20.00000,20.00000,1.00000,-77.15587,35.86130,11.39486,47.60938,0.00000,9.71605,0.00000,0.00000
obs_wrf-s3cn_arw_20150521-0000_21_21_008_00,obs_wrf-s3cn_arw_20150521-0000_21_21_008,2015-05-21 21:00:00,21.00000,21.00000,1.00000,-82.25231,22.79634,14.00705,34.81250,0.00000,9.14439,0.00000,0.00000
