Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150520-0000_19_24_000_00,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 19:00:00,19.00000,19.00000,1.00000,-103.03449,30.01018,15.45925,57.29785,0.01855,12.45093,0.00000,0.00000
obs_wrf-s3cn_arw_20150520-0000_19_24_000_01,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 20:00:00,20.00000,20.00000,2.00000,-103.03816,29.92747,14.56055,49.30566,0.00000,12.02526,-0.89871,-7.99219
obs_wrf-s3cn_arw_20150520-0000_19_24_000_02,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 21:00:00,21.00000,21.00000,3.00000,-103.72329,29.88193,12.16053,42.12891,0.00000,10.02326,-2.40001,-7.17676
obs_wrf-s3cn_arw_20150520-0000_19_24_000_03,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 22:00:00,22.00000,22.00000,4.00000,-103.50145,29.75718,16.80434,67.89355,0.00000,13.59652,4.64380,25.76465
obs_wrf-s3cn_arw_20150520-0000_19_24_000_04,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-20 23:00:00,23.00000,23.00000,5.00000,-102.95862,29.19323,14.08501,67.74023,0.00000,16.13393,-2.71933,-0.15332
obs_wrf-s3cn_arw_20150520-0000_19_24_000_05,obs_wrf-s3cn_arw_20150520-0000_19_24_000,2015-05-21 00:00:00,24.00000,0.00000,6.00000,-102.90067,29.18546,15.65735,51.45605,0.00000,12.48627,1.57234,-16.28418
obs_wrf-s3cn_arw_20150520-0000_20_22_001_00,obs_wrf-s3cn_arw_20150520-0000_20_22_001,2015-05-20 20:00:00,20.00000,20.00000,1.00000,-102.26063,26.94600,13.85302,57.97363,0.00000,14.37750,0.00000,0.00000
obs_wrf-s3cn_arw_20150520-0000_20_22_001_01,obs_wrf-s3cn_arw_20150520-0000_20_22_001,2015-05-20 21:00:00,21.00000,21.00000,2.00000,-101.38620,26.43285,13.31133,43.76270,0.00000,9.22451,-0.54170,-14.21094
obs_wrf-s3cn_arw_20150520-0000_20_22_001_02,obs_wrf-s3cn_arw_20150520-0000_20_22_001,2015-05-20 22:00:00,22.00000,22.00000,3.00000,-101.46407,26.46609,21.44932,55.74609,0.02148,12.44057,8.13799,11.98340
obs_wrf-s3cn_arw_20150520-0000_20_22_002_00,obs_wrf-s3cn_arw_20150520-0000_20_22_002,2015-05-20 20:00:00,20.00000,20.00000,1.00000,-101.93959,27.17426,15.24761,50.93555,0.00000,16.45374,0.00000,0.00000
obs_wrf-s3cn_arw_20150520-0000_20_22_002_01,obs_wrf-s3cn_arw_20150520-0000_20_22_002,2015-05-20 21:00:00,21.00000,21.00000,2.00000,-102.20463,27.04933,23.30678,57.65332,0.00000,12.46620,8.05917,6.71777
obs_wrf-s3cn_arw_20150520-0000_20_22_002_02,obs_wrf-s3cn_arw_20150520-0000_20_22_002,2015-05-20 22:00:00,22.00000,22.00000,3.00000,-102.18451,26.86290,15.41136,67.92480,0.00000,16.01291,-7.89542,10.27148
obs_wrf-s3cn_arw_20150520-0000_20_27_003_00,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-20 20:00:00,20.00000,20.00000,1.00000,-102.31967,27.53026,13.80011,59.45898,0.00000,13.14008,0.00000,0.00000
obs_wrf-s3cn_arw_20150520-0000_20_27_003_01,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-20 21:00:00,21.00000,21.00000,2.00000,-102.18591,27.65550,22.14686,46.12598,0.00000,10.56813,8.34674,-13.33301
obs_wrf-s3cn_arw_20150520-0000_20_27_003_02,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-20 22:00:00,22.00000,22.00000,3.00000,-102.09575,27.94606,17.93860,62.93555,2.07812,11.16532,-4.20826,16.80957
obs_wrf-s3cn_arw_20150520-0000_20_27_003_03,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-20 23:00:00,23.00000,23.00000,4.00000,-101.89801,28.24986,11.04168,28.21289,0.47656,5.40421,-6.89693,-34.72266
obs_wrf-s3cn_arw_20150520-0000_20_27_003_04,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-21 00:00:00,24.00000,0.00000,5.00000,-101.73467,28.53534,10.63228,22.89355,2.15723,3.79639,-0.40939,-5.31934
obs_wrf-s3cn_arw_20150520-0000_20_27_003_05,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-21 01:00:00,25.00000,1.00000,6.00000,-101.61629,28.37917,14.22154,53.88770,0.00000,11.92170,3.58925,30.99414
obs_wrf-s3cn_arw_20150520-0000_20_27_003_06,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-21 02:00:00,26.00000,2.00000,7.00000,-101.59521,28.26995,12.84423,44.00781,0.00000,9.84323,-1.37730,-9.87988
obs_wrf-s3cn_arw_20150520-0000_20_27_003_07,obs_wrf-s3cn_arw_20150520-0000_20_27_003,2015-05-21 03:00:00,27.00000,3.00000,8.00000,-101.34144,27.89418,12.76568,26.72461,2.06445,6.46696,-0.07855,-17.28320
obs_wrf-s3cn_arw_20150520-0000_21_22_004_00,obs_wrf-s3cn_arw_20150520-0000_21_22_004,2015-05-20 21:00:00,21.00000,21.00000,1.00000,-80.15584,22.45347,11.84650,39.50684,0.00000,8.63238,0.00000,0.00000
obs_wrf-s3cn_arw_20150520-0000_21_22_004_01,obs_wrf-s3cn_arw_20150520-0000_21_22_004,2015-05-20 22:00:00,22.00000,22.00000,2.00000,-80.24714,22.50877,11.67217,41.35938,0.00000,7.30173,-0.17433,1.85254
obs_wrf-s3cn_arw_20150520-0000_21_21_005_00,obs_wrf-s3cn_arw_20150520-0000_21_21_005,2015-05-20 21:00:00,21.00000,21.00000,1.00000,-101.85991,26.54771,14.92802,45.44922,0.00000,11.79553,0.00000,0.00000
