Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150525-0000_12_12_000_00,wrf-s3cn_arw_uh_max_20150525-0000_12_12_000,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-100.69919,29.28641,50.98065,160.22896,0.08303,35.86274,0.00000,0.00000,54.64922,69.02905,45.33324,7.14687,0.00000,0.00000,15.01670,31.75420,5.87357,5.55489,0.00000,0.00000,13.30153,43.91466,3.61440,9.82265,0.00000,0.00000,-5.22560,-2.26153,-9.41254,1.58197,0.00000,0.00000,325.40921,1489.89209,0.00000,391.44547,0.00000,0.00000,-150.96494,0.00000,-583.35297,133.21992,0.00000,0.00000,429.24774,550.86450,355.85788,40.47207,0.00000,0.00000,186.49150,566.01978,21.02157,141.24628,0.00000,0.00000,0.00279,0.00546,0.00046,0.00081,0.00000,0.00000,-8.58810,-4.37243,-11.90062,1.35305,0.00000,0.00000,6.87162,8.91527,5.13261,0.92531,0.00000,0.00000,67.27352,70.33064,65.08955,1.58226,0.00000,0.00000,68.30997,70.59261,66.26015,1.30566,0.00000,0.00000,11.64916,14.22649,8.79161,1.52926,0.00000,0.00000,3.63860,5.28705,2.70842,0.45769,0.00000,0.00000,-4.92556,-3.97051,-5.93958,0.46331,0.00000,0.00000,-5.77218,-4.22631,-7.20129,0.59449,0.00000,0.00000,31.67969
wrf-s3cn_arw_uh_max_20150525-0000_12_16_001_00,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-100.29424,29.41735,57.82401,111.74375,0.46933,26.07802,0.00000,0.00000,60.97841,70.23641,43.31050,6.54545,0.00000,0.00000,22.95916,34.86871,5.28129,6.83304,0.00000,0.00000,17.97381,40.68303,2.74372,9.07077,0.00000,0.00000,-5.73118,-1.37778,-10.18192,1.59191,0.00000,0.00000,2621.39136,3078.49707,847.46924,358.59238,0.00000,0.00000,-36.65420,-11.60180,-92.35704,11.22143,0.00000,0.00000,542.23474,629.77661,485.35004,27.03158,0.00000,0.00000,93.45515,153.50635,31.00960,30.24797,0.00000,0.00000,0.00344,0.00557,0.00057,0.00131,0.00000,0.00000,-11.12595,-7.05805,-12.25063,0.82125,0.00000,0.00000,6.61665,9.99616,5.69635,0.69829,0.00000,0.00000,68.98540,69.63438,68.51581,0.24609,0.00000,0.00000,70.03810,71.54611,68.59172,0.79358,0.00000,0.00000,14.73190,15.33637,12.74393,0.52615,0.00000,0.00000,2.88794,4.24183,2.54759,0.26746,0.00000,0.00000,-5.74352,-4.32186,-6.05603,0.28817,0.00000,0.00000,-6.65278,-5.97924,-7.21763,0.26503,0.00000,0.00000,37.51660
wrf-s3cn_arw_uh_max_20150525-0000_12_16_001_01,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001,2015-05-25 13:00:00,13.00000,13.00000,2.00000,-99.92623,29.74249,51.49435,112.07737,13.95456,23.29795,-6.32966,0.33362,59.26218,70.76505,47.71993,5.70411,-1.71623,0.52864,22.09754,33.54391,13.14282,4.89705,-0.86162,-1.32480,17.09949,43.90530,6.21297,7.54807,-0.87432,3.22227,-6.10636,-2.57876,-10.36237,1.61837,-0.37518,-1.20098,2111.12427,3153.63867,0.00000,995.08154,-510.26709,75.14160,-53.96092,0.00000,-456.50677,83.77805,-17.30672,11.60180,631.95935,756.90656,519.65430,48.89389,89.72461,127.12994,81.39986,333.40762,-16.38963,65.47258,-12.05528,179.90128,0.00276,0.00537,0.00114,0.00084,-0.00068,-0.00020,-10.41180,-6.61993,-12.21637,1.24586,0.71415,0.43812,6.35136,9.27482,4.34343,0.93470,-0.26529,-0.72133,67.67523,69.44597,61.36146,2.17589,-1.31017,-0.18842,67.96571,70.05840,62.44899,1.84814,-2.07240,-1.48772,13.73288,14.99963,8.78837,1.34842,-0.99902,-0.33674,3.00907,4.40352,2.37297,0.43364,0.12113,0.16169,-5.72136,-3.73717,-6.54596,0.68829,0.02217,0.58469,-6.28483,-4.92179,-7.35233,0.43675,0.36794,1.05745,43.75293
wrf-s3cn_arw_uh_max_20150525-0000_12_16_001_02,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001,2015-05-25 14:00:00,14.00000,14.00000,3.00000,-99.29937,29.95342,69.24708,129.59438,14.88103,25.62740,17.75273,17.51701,59.35722,67.64104,45.54403,5.74005,0.09503,-3.12402,22.30739,31.80466,9.92551,5.27926,0.20986,-1.73926,15.15786,26.55128,4.86927,5.02491,-1.94163,-17.35403,-6.35649,-2.39346,-14.65166,1.97236,-0.25013,0.18530,2319.83325,2871.17920,0.00000,702.93097,208.70898,-282.45947,-38.62830,-2.16741,-351.96207,43.64873,15.33262,-2.16741,642.30957,907.22565,544.67609,70.00676,10.35022,150.31909,87.40914,298.89966,-20.72817,58.55433,6.00928,-34.50797,0.00399,0.00606,0.00243,0.00073,0.00123,0.00069,-11.27143,-6.41945,-12.54714,1.16973,-0.85962,0.20048,5.50799,9.25064,3.52833,1.08753,-0.84337,-0.02418,68.79816,70.18233,60.90876,1.46770,1.12292,0.73636,68.95163,70.18952,64.03344,1.04243,0.98592,0.13113,13.39338,14.84966,8.27505,1.20773,-0.33951,-0.14997,2.90327,4.45064,2.56715,0.34421,-0.10580,0.04712,-6.24412,-4.08247,-6.77644,0.51450,-0.52276,-0.34530,-6.31241,-5.10344,-7.25862,0.38494,-0.02757,-0.18165,43.75293
wrf-s3cn_arw_uh_max_20150525-0000_12_16_001_03,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001,2015-05-25 15:00:00,15.00000,15.00000,4.00000,-98.76331,30.09909,73.28153,152.45667,16.88221,31.22982,4.03445,22.86229,56.82982,67.48425,29.02951,9.04655,-2.52740,-0.15678,20.04878,30.52386,6.89145,5.14805,-2.25862,-1.28080,12.31539,27.03684,0.82432,6.76743,-2.84247,0.48557,-5.61504,-2.05880,-8.71473,1.67466,0.74145,0.33466,2649.75537,3019.76074,45.00686,429.25491,329.92212,148.58154,-16.49168,0.00000,-159.53825,22.50757,22.13662,2.16741,552.65002,855.79053,470.93048,59.35153,-89.65955,-51.43512,52.40009,156.81905,-52.31888,36.87596,-35.00905,-142.08061,0.00382,0.00632,0.00198,0.00067,-0.00017,0.00025,-12.26772,-8.78894,-13.46313,0.89985,-0.99630,-2.36949,5.10423,7.79597,3.49844,0.68214,-0.40376,-1.45467,70.17444,71.07952,59.92939,1.36422,1.37628,0.89719,70.24651,71.07952,63.14619,1.02484,1.29488,0.89000,12.47046,14.32603,7.86983,1.60670,-0.92292,-0.52362,2.63755,3.63891,2.38435,0.24287,-0.26573,-0.81173,-6.41748,-5.35205,-6.82658,0.26658,-0.17336,-1.26958,-6.55138,-4.97115,-7.24944,0.44065,-0.23897,0.13229,50.32129
wrf-s3cn_arw_uh_max_20150525-0000_12_16_001_04,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001,2015-05-25 16:00:00,16.00000,16.00000,5.00000,-98.54957,30.22753,46.52635,104.24038,0.24556,26.00863,-26.75518,-48.21629,57.55313,65.11103,43.65844,5.47535,0.72331,-2.37322,18.83553,26.02091,6.82199,4.37639,-1.21324,-4.50294,11.90251,21.58042,2.67687,5.26660,-0.41288,-5.45642,-5.88117,-2.17027,-8.51651,1.82707,-0.26613,-0.11147,154.97348,2438.28662,0.00000,514.21118,-2494.78198,-581.47412,-521.32410,-0.17085,-837.88757,212.76717,-504.83243,-0.17085,711.99463,949.46503,540.37427,86.56306,159.34460,93.67450,272.24512,659.74341,24.97761,140.86020,219.84503,502.92438,0.00537,0.00757,0.00139,0.00130,0.00155,0.00126,-10.39608,-7.10802,-12.99310,1.50217,1.87164,1.68092,6.35646,8.43894,3.79048,0.98175,1.25223,0.64297,60.27631,70.12640,57.03141,2.76033,-9.89813,-0.95312,63.46249,70.13651,61.40656,1.68818,-6.78402,-0.94301,9.69500,13.80010,6.71088,1.86217,-2.77546,-0.52594,3.06498,4.21425,2.40996,0.50454,0.42744,0.57534,-4.41938,-3.49504,-5.91712,0.48600,1.99810,1.85701,-6.26989,-4.51047,-7.52317,0.73163,0.28149,0.46068,27.58594
wrf-s3cn_arw_uh_max_20150525-0000_12_17_002_00,wrf-s3cn_arw_uh_max_20150525-0000_12_17_002,2015-05-25 12:00:00,12.00000,12.00000,1.00000,-102.06653,32.19498,51.17859,172.60922,2.29920,36.06625,0.00000,0.00000,60.94392,70.92233,40.86641,7.24325,0.00000,0.00000,18.62416,30.10796,8.96307,4.83621,0.00000,0.00000,16.27582,35.78805,1.50739,9.46966,0.00000,0.00000,-6.80583,-3.25205,-11.36159,1.80850,0.00000,0.00000,190.54201,1444.79163,0.00000,351.41525,0.00000,0.00000,-126.06798,-31.80450,-439.38181,77.61275,0.00000,0.00000,2161.87671,2687.09619,1633.05347,235.29424,0.00000,0.00000,94.74784,414.60950,-6.97518,92.98470,0.00000,0.00000,0.00438,0.00688,0.00323,0.00079,0.00000,0.00000,-13.86808,-11.39859,-14.88216,0.66374,0.00000,0.00000,4.25851,5.76888,3.11812,0.49539,0.00000,0.00000,52.23326,56.76917,43.79783,2.74624,0.00000,0.00000,64.06324,68.49384,61.40178,1.42689,0.00000,0.00000,6.57810,10.83564,4.39902,1.79754,0.00000,0.00000,2.16351,2.88004,1.24703,0.26066,0.00000,0.00000,-6.53204,-5.57495,-7.27273,0.28242,0.00000,0.00000,-6.85566,-6.04497,-7.45371,0.31310,0.00000,0.00000,47.01465
wrf-s3cn_arw_uh_max_20150525-0000_12_17_002_01,wrf-s3cn_arw_uh_max_20150525-0000_12_17_002,2015-05-25 13:00:00,13.00000,13.00000,2.00000,-101.63228,32.27781,42.64996,120.52646,0.61487,24.75882,-8.52863,-52.08276,63.15379,70.59875,38.76470,6.02669,2.20987,-0.32357,21.23569,34.47497,10.23878,5.54149,2.61152,4.36701,20.95430,46.31113,1.67942,10.26265,4.67848,10.52308,-6.61026,-3.22087,-13.54493,2.11099,0.19557,0.03118,1773.78589,2833.31250,0.00000,830.12811,1583.24390,1388.52087,-77.22091,-6.76362,-564.44940,121.36344,48.84707,25.04089,1312.73926,1601.49658,929.85461,133.08063,-849.13745,-1085.59961,163.00198,596.46039,26.21175,113.85583,68.25414,181.85089,0.00519,0.00774,0.00333,0.00085,0.00082,0.00085,-13.59794,-7.04539,-15.23562,1.47572,0.27014,4.35320,5.32296,8.43032,2.67349,0.93268,1.06445,2.66144,59.37662,67.84669,52.40507,2.47901,7.14336,11.07751,63.82329,69.34220,55.38912,2.20548,-0.23995,0.84837,12.56256,14.47764,6.96723,1.83691,5.98447,3.64199,2.32468,4.22817,1.34919,0.41629,0.16117,1.34813,-6.05559,-3.98026,-6.90760,0.55692,0.47644,1.59470,-7.15097,-4.75570,-7.81691,0.64963,-0.29531,1.28927,39.55273
wrf-s3cn_arw_uh_max_20150525-0000_12_17_002_02,wrf-s3cn_arw_uh_max_20150525-0000_12_17_002,2015-05-25 14:00:00,14.00000,14.00000,3.00000,-101.15270,32.40457,50.69524,108.22758,13.24405,22.40894,8.04528,-12.29887,56.03600,68.92801,40.54042,7.37075,-7.11778,-1.67075,20.29873,33.98621,6.55033,5.61113,-0.93695,-0.48876,11.47856,34.95098,1.72866,7.50565,-9.47573,-11.36015,-5.73189,-1.89280,-11.73287,1.88055,0.87837,1.32807,2331.35254,2966.93042,0.00000,822.76550,557.56665,133.61792,-61.77862,-0.41906,-743.00073,142.21710,15.44229,6.34456,725.39258,821.39062,682.92603,37.82359,-587.34668,-780.10596,136.39857,287.56747,22.63373,43.79702,-26.60341,-308.89291,0.00395,0.00764,0.00319,0.00076,-0.00124,-0.00009,-14.25873,-5.22363,-15.63866,1.85314,-0.66079,1.82177,6.12330,8.83453,4.80935,0.86569,0.80035,0.40421,63.84840,66.97470,53.41043,3.02289,4.47179,-0.87199,64.49509,66.97470,54.78460,2.61147,0.67181,-2.36750,13.27788,13.98444,10.12625,0.90780,0.71532,-0.49320,2.24372,4.92841,1.95703,0.50597,-0.08096,0.70024,-5.63345,-2.89866,-6.18578,0.70276,0.42214,1.08159,-7.71039,-4.62668,-9.23828,0.63574,-0.55942,0.12902,39.55273
wrf-s3cn_arw_uh_max_20150525-0000_12_17_002_03,wrf-s3cn_arw_uh_max_20150525-0000_12_17_002,2015-05-25 15:00:00,15.00000,15.00000,4.00000,-100.87088,32.49783,45.62370,103.77131,7.77020,23.76204,-5.07154,-4.45628,57.04860,67.39576,41.69637,6.05879,1.01260,-1.53225,18.36882,30.93199,6.10858,4.97913,-1.92991,-3.05422,11.44401,25.87950,2.84210,5.03222,-0.03456,-9.07148,-5.25928,-2.64355,-9.08379,1.48444,0.47261,-0.75075,1592.06702,3185.79858,0.00000,1308.22290,-739.28552,218.86816,-143.27957,0.00000,-651.53693,178.28828,-81.50095,0.41906,789.68079,947.81964,692.30945,59.34935,64.28821,126.42902,9.49488,315.94897,-223.99449,106.52114,-126.90370,28.38150,0.00426,0.00642,0.00242,0.00095,0.00031,-0.00122,-13.50955,-7.94116,-15.86315,1.83266,0.74919,-2.71754,5.37147,8.65825,3.54990,0.77055,-0.75184,-0.17628,62.85005,68.30257,54.06796,5.61163,-0.99836,1.32787,64.28537,69.25749,57.63995,4.41073,-0.20972,2.28279,11.57370,13.71229,7.58329,1.77091,-1.70418,-0.27215,2.35889,3.90465,1.59351,0.45571,0.11517,-1.02376,-5.73135,-3.45980,-6.83589,0.95946,-0.09790,-0.56114,-7.13775,-4.50975,-8.17524,0.88168,0.57265,0.11694,32.17871
