Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150521-0000_12_14_000,2015-05-21 12:00:00,2015-05-21 14:00:00,3.00000,wrf-s3cn_arw_uh_max_20150521-0000_13_17_000
obs_wrf-s3cn_arw_20150521-0000_15_16_001,2015-05-21 15:00:00,2015-05-21 16:00:00,2.00000,wrf-s3cn_arw_uh_max_20150521-0000_22_24_007
obs_wrf-s3cn_arw_20150521-0000_16_17_002,2015-05-21 16:00:00,2015-05-21 17:00:00,2.00000,wrf-s3cn_arw_uh_max_20150521-0000_29_30_019
obs_wrf-s3cn_arw_20150521-0000_19_23_003,2015-05-21 19:00:00,2015-05-21 23:00:00,5.00000,wrf-s3cn_arw_uh_max_20150521-0000_24_28_013
obs_wrf-s3cn_arw_20150521-0000_19_19_004,2015-05-21 19:00:00,2015-05-21 19:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_28_28_017
obs_wrf-s3cn_arw_20150521-0000_20_21_005,2015-05-21 20:00:00,2015-05-21 21:00:00,2.00000,wrf-s3cn_arw_uh_max_20150521-0000_20_21_001
obs_wrf-s3cn_arw_20150521-0000_20_20_006,2015-05-21 20:00:00,2015-05-21 20:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_20_20_007,2015-05-21 20:00:00,2015-05-21 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_20_20_002
obs_wrf-s3cn_arw_20150521-0000_21_21_008,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_21_21_009,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_21_21_010,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_23_23_011
obs_wrf-s3cn_arw_20150521-0000_21_21_011,2015-05-21 21:00:00,2015-05-21 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_21_21_004
obs_wrf-s3cn_arw_20150521-0000_22_24_012,2015-05-21 22:00:00,2015-05-22 00:00:00,3.00000,wrf-s3cn_arw_uh_max_20150521-0000_22_24_006
obs_wrf-s3cn_arw_20150521-0000_22_22_013,2015-05-21 22:00:00,2015-05-21 22:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_22_22_014,2015-05-21 22:00:00,2015-05-21 22:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_22_22_015,2015-05-21 22:00:00,2015-05-21 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_22_22_008
obs_wrf-s3cn_arw_20150521-0000_22_22_016,2015-05-21 22:00:00,2015-05-21 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_22_23_009
obs_wrf-s3cn_arw_20150521-0000_24_24_017,2015-05-22 00:00:00,2015-05-22 00:00:00,1.00000,None
obs_wrf-s3cn_arw_20150521-0000_24_25_018,2015-05-22 00:00:00,2015-05-22 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150521-0000_28_28_018
obs_wrf-s3cn_arw_20150521-0000_25_25_019,2015-05-22 01:00:00,2015-05-22 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_22_26_010
obs_wrf-s3cn_arw_20150521-0000_26_26_020,2015-05-22 02:00:00,2015-05-22 02:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_25_27_014
obs_wrf-s3cn_arw_20150521-0000_26_26_021,2015-05-22 02:00:00,2015-05-22 02:00:00,1.00000,wrf-s3cn_arw_uh_max_20150521-0000_28_28_016
