Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000_00,wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-22 20:00:00,20.00000,20.00000,1.00000,-104.95585,39.63541,39.17289,111.57374,0.00000,30.04675,0.00000,0.00000,37.03498,53.55401,10.56579,10.11710,0.00000,0.00000,9.19959,18.62111,1.17930,5.27744,0.00000,0.00000,1.51123,4.78504,0.14834,1.04506,0.00000,0.00000,-2.80082,-0.98171,-4.83377,0.87973,0.00000,0.00000,476.44031,662.39618,143.91499,152.34032,0.00000,0.00000,-11.92797,0.00000,-38.52349,11.42982,0.00000,0.00000,2622.24365,2773.84619,2456.98682,88.33624,0.00000,0.00000,197.37640,344.99084,92.13119,48.21904,0.00000,0.00000,0.00445,0.00515,0.00290,0.00065,0.00000,0.00000,-16.25683,-15.42295,-16.84947,0.29078,0.00000,0.00000,3.38668,3.82469,2.29459,0.31643,0.00000,0.00000,46.35666,49.84026,41.24632,2.38026,0.00000,0.00000,61.06554,62.94146,56.05253,1.20660,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,0.00000,0.00000,0.00000,0.74855,1.80160,0.32265,0.49480,0.00000,0.00000,-8.47076,-7.86155,-8.75162,0.14888,0.00000,0.00000,-7.47203,-6.77244,-7.81044,0.19854,0.00000,0.00000,30.26953
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000_01,wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-22 21:00:00,21.00000,21.00000,2.00000,-104.43065,39.71434,45.34936,88.06972,0.00000,23.01975,6.17646,-23.50402,35.85912,57.49879,6.03500,10.60864,-1.17586,3.94478,10.29805,16.56549,3.27989,3.17343,1.09846,-2.05563,1.55416,6.45515,0.11345,1.23236,0.04294,1.67010,-3.11601,-0.66151,-5.69512,1.15742,-0.31519,0.32019,331.57416,513.07721,13.46043,107.05478,-144.86615,-149.31897,-14.55438,0.00000,-64.10518,14.37025,-2.62641,0.00000,2726.54395,2914.26367,2400.68262,123.51554,104.30029,140.41748,136.56026,430.51096,14.04870,76.94473,-60.81615,85.52011,0.00416,0.00574,0.00213,0.00082,-0.00029,0.00059,-15.71173,-12.55359,-16.50850,0.73974,0.54510,2.86936,3.16541,4.88683,2.03952,0.55314,-0.22127,1.06214,46.96625,49.89118,44.89795,1.10921,0.60959,0.05092,60.93824,64.96129,55.38813,2.95421,-0.12730,2.01983,-9999.00000,-9999.00000,-9999.00000,0.00000,0.00000,0.00000,1.69404,2.58657,0.49744,0.40891,0.94549,0.78497,-8.27069,-6.91278,-8.95649,0.58447,0.20006,0.94877,-7.18046,-5.91944,-7.79270,0.39709,0.29158,0.85299,30.26953
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000_02,wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-22 22:00:00,22.00000,22.00000,3.00000,-103.80850,39.79505,43.94320,100.07705,0.03106,31.19867,-1.40616,12.00733,37.07980,60.89954,0.24722,15.00765,1.22069,3.40075,9.63919,18.72056,1.33208,4.57844,-0.65887,2.15507,2.44640,9.69616,0.06122,2.72439,0.89224,3.24101,-2.62894,-0.89220,-4.33967,0.70292,0.48707,-0.23069,261.77307,625.12592,0.00000,115.38774,-69.80109,112.04871,-12.11306,0.00000,-203.05743,22.03275,2.44132,0.00000,2885.67822,3090.26343,2623.58887,126.02991,159.13428,175.99976,163.99844,472.44958,44.47854,92.02531,27.43819,41.93863,0.00508,0.00712,0.00224,0.00110,0.00091,0.00138,-15.83771,-13.00980,-16.95480,0.79718,-0.12598,-0.45621,2.94828,4.05575,2.37551,0.35957,-0.21712,-0.83108,46.05719,48.35293,43.36623,1.08623,-0.90905,-1.53825,65.14091,67.89755,56.43678,2.30017,4.20267,2.93626,-8097.88818,7.25343,-9999.00000,3925.30493,1901.11182,10006.25391,1.25260,2.49004,0.52776,0.58100,-0.44144,-0.09653,-8.62631,-6.45233,-9.26824,0.50782,-0.35561,0.46045,-7.14776,-6.09164,-7.79449,0.31045,0.03270,-0.17220,27.61914
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000_03,wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-22 23:00:00,23.00000,23.00000,4.00000,-103.26981,39.81394,121.23633,270.85977,0.25253,80.29991,77.29313,170.78271,49.69705,65.03440,16.38042,12.82564,12.61725,4.13486,15.43506,26.29051,1.16264,7.25055,5.79587,7.56995,7.29944,17.47006,0.13998,4.57458,4.85304,7.77391,-4.24778,-0.23051,-10.65641,2.75736,-1.61883,0.66169,717.53131,1130.16541,442.28571,138.69434,455.75824,505.03949,-30.53394,-0.36725,-61.88760,13.05442,-18.42087,-0.36725,2067.54834,2345.75952,1821.42151,126.00062,-818.12988,-744.50391,235.45436,400.92404,118.05400,62.65623,71.45592,-71.52554,0.00623,0.00778,0.00401,0.00057,0.00115,0.00066,-15.69534,-14.77901,-16.93047,0.46208,0.14237,-1.76921,3.53672,4.01896,2.82956,0.21014,0.58843,-0.03678,53.20086,53.80462,51.73617,0.40973,7.14366,5.45169,62.32124,64.44900,60.08358,1.02558,-2.81967,-3.44855,-7300.06055,9.90149,-9999.00000,4441.64893,797.82764,2.64806,0.99281,1.99747,0.68150,0.41605,-0.25979,-0.49257,-8.04360,-7.47481,-8.62020,0.29852,0.58271,-1.02248,-7.31480,-6.96115,-7.81521,0.19159,-0.16704,-0.86951,27.61914
wrf-s3cn_arw_uh_max_20150522-0000_20_24_000_04,wrf-s3cn_arw_uh_max_20150522-0000_20_24_000,2015-05-23 00:00:00,24.00000,0.00000,5.00000,-102.93485,39.76128,119.75690,263.68216,0.76962,71.81986,-1.47943,-7.17761,56.65099,64.90870,34.07799,4.07132,6.95394,-0.12570,16.86962,26.14530,3.86771,5.96890,1.43456,-0.14521,7.82475,15.62896,0.38036,3.22035,0.52531,-1.84110,-4.68722,-1.67484,-11.96253,2.89074,-0.43944,-1.44433,427.06772,1007.05359,0.00000,269.40750,-290.46359,-123.11182,-52.84117,-0.36300,-264.20917,59.30882,-22.30723,0.00425,1620.59998,1934.55286,1411.80920,124.21291,-446.94836,-411.20667,528.81659,1044.57422,60.47177,229.79518,293.36224,643.65015,0.00656,0.00961,0.00164,0.00155,0.00033,0.00183,-13.47168,-10.44760,-16.14590,1.24871,2.22365,4.33141,4.03864,5.60304,2.68572,0.59076,0.50192,1.58408,52.75088,55.32403,49.38581,1.66870,-0.44997,1.51941,56.21489,62.80495,51.07908,3.08057,-6.10635,-1.64405,-636.08746,10.34826,-9999.00000,2458.82104,6663.97314,0.44678,1.56883,3.13485,0.55855,0.73285,0.57602,1.13738,-6.25159,-4.82087,-7.90572,0.74019,1.79200,2.65394,-6.63166,-5.27642,-7.96577,0.58771,0.68314,1.68473,25.81836
wrf-s3cn_arw_uh_max_20150522-0000_21_23_001_00,wrf-s3cn_arw_uh_max_20150522-0000_21_23_001,2015-05-22 21:00:00,21.00000,21.00000,1.00000,-104.93390,26.58534,44.96196,86.72009,9.85384,20.94454,0.00000,0.00000,40.94188,51.05833,24.47697,7.84458,0.00000,0.00000,14.26134,23.01229,2.47951,5.63432,0.00000,0.00000,2.91960,6.36238,0.24406,1.69942,0.00000,0.00000,-2.74480,-0.72426,-5.80602,1.24996,0.00000,0.00000,1037.53357,1381.62329,600.11346,216.87270,0.00000,0.00000,-12.14095,0.00000,-58.84737,16.53897,0.00000,0.00000,3488.08154,3820.25757,3178.97583,121.89433,0.00000,0.00000,108.81786,186.95267,48.88039,34.37974,0.00000,0.00000,0.00344,0.00379,0.00279,0.00026,0.00000,0.00000,-9.18536,-8.65947,-10.20375,0.33976,0.00000,0.00000,10.95469,11.56811,10.34094,0.28244,0.00000,0.00000,52.39600,54.23737,49.12961,1.15022,0.00000,0.00000,82.06670,83.50896,75.50713,1.52817,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,0.00000,0.00000,0.00000,2.38658,2.94723,1.92955,0.26962,0.00000,0.00000,-9.50764,-8.16661,-10.16187,0.40991,0.00000,0.00000,-7.45751,-7.13454,-8.05816,0.20539,0.00000,0.00000,31.49414
wrf-s3cn_arw_uh_max_20150522-0000_21_23_001_01,wrf-s3cn_arw_uh_max_20150522-0000_21_23_001,2015-05-22 22:00:00,22.00000,22.00000,2.00000,-104.69467,26.46936,49.74248,112.55175,1.67149,27.63097,4.78052,25.83166,43.60299,60.96930,14.65058,9.51767,2.66111,9.91097,13.91496,23.60210,2.47634,6.38664,-0.34638,0.58981,4.48624,15.15037,0.37194,3.34032,1.56664,8.78798,-2.66678,-0.58488,-5.70738,1.37057,0.07802,0.13938,696.37793,1052.55017,0.00000,199.31894,-341.15564,-329.07312,-28.16990,-0.00193,-269.92712,41.02349,-16.02895,-0.00193,3460.39990,3795.76196,2830.17139,208.45042,-27.68164,-24.49561,108.74762,246.74615,-7.99569,55.09573,-0.07024,59.79349,0.00338,0.00473,0.00147,0.00056,-0.00005,0.00093,-7.88567,-5.87398,-9.79032,0.65112,1.29969,2.78548,11.16462,11.97187,9.05184,0.54558,0.20993,0.40376,52.57283,56.33593,49.13570,1.48042,0.17683,2.09855,82.53297,85.99715,69.77792,3.21902,0.46627,2.48819,-8832.98145,9.86826,-9999.00000,3210.96313,1166.01855,10008.86816,2.94812,4.67670,2.05561,0.63466,0.56154,1.72947,-9.14936,-6.82861,-9.88649,0.57484,0.35829,1.33799,-7.03717,-5.57293,-7.51212,0.32905,0.42034,1.56162,35.00293
wrf-s3cn_arw_uh_max_20150522-0000_21_23_001_02,wrf-s3cn_arw_uh_max_20150522-0000_21_23_001,2015-05-22 23:00:00,23.00000,23.00000,3.00000,-104.54795,26.39175,49.73836,115.00803,0.00000,30.30042,-0.00412,2.45628,49.57215,65.04250,19.69657,10.00950,5.96917,4.07320,13.15191,21.97641,2.77839,4.42938,-0.76305,-1.62569,6.76616,18.08368,0.54937,4.58600,2.27992,2.93331,-3.80267,-1.68738,-10.16812,1.80324,-1.13589,-1.10250,429.60736,742.22015,0.00000,243.11092,-266.77057,-310.33002,-36.13971,0.00000,-202.35822,43.30328,-7.96981,0.00193,3438.09912,3807.03174,2053.27930,445.46701,-22.30078,11.26978,102.29577,258.98480,-5.25626,59.11919,-6.45185,12.23865,0.00365,0.00496,0.00162,0.00084,0.00026,0.00023,-8.31912,-5.52977,-10.23960,1.43045,-0.43346,0.34421,11.02006,12.07473,8.51298,0.86736,-0.14456,0.10286,51.52131,58.28051,48.40918,2.39432,-1.05153,1.94458,81.14523,87.91234,66.66489,5.67448,-1.38775,1.91519,-3203.52979,11.57210,-9999.00000,4672.23730,5629.45166,1.70385,3.76539,4.81785,2.88410,0.52537,0.81727,0.14115,-8.80243,-5.92453,-9.79573,1.08865,0.34693,0.90408,-7.15836,-5.31988,-7.95695,0.79701,-0.12119,0.25305,31.29688
wrf-s3cn_arw_uh_max_20150522-0000_21_22_002_00,wrf-s3cn_arw_uh_max_20150522-0000_21_22_002,2015-05-22 21:00:00,21.00000,21.00000,1.00000,-104.98487,27.02632,44.00374,122.28885,0.00000,26.35198,0.00000,0.00000,48.69221,66.49168,28.12439,8.90485,0.00000,0.00000,14.90397,25.62994,3.26246,5.73799,0.00000,0.00000,7.02695,25.32286,0.64165,5.77556,0.00000,0.00000,-2.90246,-0.30335,-5.40536,1.46774,0.00000,0.00000,868.75812,1058.78748,419.30768,88.19187,0.00000,0.00000,-21.84863,0.00000,-75.10494,24.07344,0.00000,0.00000,3428.01001,3554.72119,3274.47607,70.62074,0.00000,0.00000,118.46185,186.58624,7.44155,33.87296,0.00000,0.00000,0.00357,0.00482,0.00249,0.00041,0.00000,0.00000,-9.01424,-6.61941,-9.93904,0.54261,0.00000,0.00000,10.54827,11.32663,9.86176,0.36895,0.00000,0.00000,52.69947,54.24594,51.23206,0.70266,0.00000,0.00000,84.81570,85.84432,81.40414,0.94464,0.00000,0.00000,-2012.34656,9.99640,-9999.00000,4018.52148,0.00000,0.00000,2.35296,4.38079,1.45488,0.70427,0.00000,0.00000,-9.35730,-8.57005,-10.09274,0.27681,0.00000,0.00000,-7.23690,-6.22316,-7.70757,0.28334,0.00000,0.00000,45.39551
wrf-s3cn_arw_uh_max_20150522-0000_21_22_002_01,wrf-s3cn_arw_uh_max_20150522-0000_21_22_002,2015-05-22 22:00:00,22.00000,22.00000,2.00000,-104.79860,26.94583,42.72453,94.90893,0.00000,23.77675,-1.27921,-27.37992,47.97480,64.68744,30.91552,7.94391,-0.71741,-1.80424,14.63135,25.37895,2.65929,6.22913,-0.27261,-0.25099,6.73581,21.08116,0.62815,5.44709,-0.29113,-4.24170,-3.09250,-1.60258,-5.58829,0.80426,-0.19004,-1.29924,577.52850,862.83020,0.00000,234.07805,-291.22961,-195.95728,-38.46222,0.00000,-158.98415,29.05323,-16.61359,0.00000,3357.35498,3604.79248,2187.17725,310.38022,-70.65503,50.07129,83.45690,226.77322,-109.34660,73.03698,-35.00495,40.18698,0.00364,0.00520,0.00114,0.00078,0.00007,0.00038,-9.27498,-5.83132,-11.30346,1.46488,-0.26074,0.78810,10.77306,11.74073,7.66570,0.90824,0.22480,0.41410,52.24626,57.26801,50.37733,1.31877,-0.45322,3.02206,81.23318,85.14938,66.24548,3.87747,-3.58253,-0.69494,-1216.24231,11.30847,-9999.00000,3280.74365,796.10425,1.31207,3.33082,4.69238,2.36737,0.53134,0.97786,0.31159,-8.88379,-5.82579,-9.87165,0.82608,0.47352,2.74426,-7.43059,-5.10988,-8.41740,0.85015,-0.19370,1.11328,45.39551
