Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150526-0000_12_18_000,2015-05-26 12:00:00,2015-05-26 18:00:00,7.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_19_20_001,519262.33436,-146864.07986,-7.00000,-2.00000
wrf-s3cn_arw_uh_max_20150526-0000_12_12_001,2015-05-26 12:00:00,2015-05-26 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_25_25_019,360745.52516,24050.30611,-13.00000,-13.00000
wrf-s3cn_arw_uh_max_20150526-0000_13_13_002,2015-05-26 13:00:00,2015-05-26 13:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_15_15_000,113432.79403,513593.28244,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150526-0000_17_18_003,2015-05-26 17:00:00,2015-05-26 18:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_24_25_017,567076.71611,477061.15598,-7.00000,-7.00000
wrf-s3cn_arw_uh_max_20150526-0000_17_17_004,2015-05-26 17:00:00,2015-05-26 17:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150526-0000_18_18_005,2015-05-26 18:00:00,2015-05-26 18:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150526-0000_19_19_006,2015-05-26 19:00:00,2015-05-26 19:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_20_20_004,831209.19932,182128.54879,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150526-0000_19_20_007,2015-05-26 19:00:00,2015-05-26 20:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150526-0000_19_24_008,2015-05-26 19:00:00,2015-05-27 00:00:00,6.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_30_35_043,532783.13773,542855.81434,-11.00000,-11.00000
wrf-s3cn_arw_uh_max_20150526-0000_19_20_009,2015-05-26 19:00:00,2015-05-26 20:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_24_25_016,679033.55282,633189.16155,-5.00000,-5.00000
wrf-s3cn_arw_uh_max_20150526-0000_20_20_010,2015-05-26 20:00:00,2015-05-26 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_24_25_005,95098.42850,-183190.15711,-4.00000,-5.00000
wrf-s3cn_arw_uh_max_20150526-0000_21_24_011,2015-05-26 21:00:00,2015-05-27 00:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_24_25_011,75094.23630,-11880.28215,-3.00000,-1.00000
wrf-s3cn_arw_uh_max_20150526-0000_21_21_012,2015-05-26 21:00:00,2015-05-26 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150526-0000_24_24_010,146776.63516,36058.56027,-3.00000,-3.00000
