Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150525-0000_12_15_000,2015-05-25 12:00:00,2015-05-25 15:00:00,4.00000,wrf-s3cn_arw_uh_max_20150525-0000_12_16_001
obs_wrf-s3cn_arw_20150525-0000_12_12_001,2015-05-25 12:00:00,2015-05-25 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_12_12_000
obs_wrf-s3cn_arw_20150525-0000_12_13_002,2015-05-25 12:00:00,2015-05-25 13:00:00,2.00000,None
obs_wrf-s3cn_arw_20150525-0000_12_15_003,2015-05-25 12:00:00,2015-05-25 15:00:00,4.00000,wrf-s3cn_arw_uh_max_20150525-0000_12_17_002
obs_wrf-s3cn_arw_20150525-0000_13_15_004,2015-05-25 13:00:00,2015-05-25 15:00:00,3.00000,None
obs_wrf-s3cn_arw_20150525-0000_14_15_005,2015-05-25 14:00:00,2015-05-25 15:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_13_13_003
obs_wrf-s3cn_arw_20150525-0000_14_14_006,2015-05-25 14:00:00,2015-05-25 14:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_14_14_004
obs_wrf-s3cn_arw_20150525-0000_15_17_007,2015-05-25 15:00:00,2015-05-25 17:00:00,3.00000,wrf-s3cn_arw_uh_max_20150525-0000_16_16_007
obs_wrf-s3cn_arw_20150525-0000_16_16_008,2015-05-25 16:00:00,2015-05-25 16:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_16_16_006
obs_wrf-s3cn_arw_20150525-0000_16_20_009,2015-05-25 16:00:00,2015-05-25 20:00:00,5.00000,wrf-s3cn_arw_uh_max_20150525-0000_18_19_014
obs_wrf-s3cn_arw_20150525-0000_17_17_010,2015-05-25 17:00:00,2015-05-25 17:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_17_17_008
obs_wrf-s3cn_arw_20150525-0000_18_22_011,2015-05-25 18:00:00,2015-05-25 22:00:00,5.00000,wrf-s3cn_arw_uh_max_20150525-0000_17_23_009
obs_wrf-s3cn_arw_20150525-0000_18_18_012,2015-05-25 18:00:00,2015-05-25 18:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_18_18_013
obs_wrf-s3cn_arw_20150525-0000_19_20_013,2015-05-25 19:00:00,2015-05-25 20:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_16_17_005
obs_wrf-s3cn_arw_20150525-0000_19_20_014,2015-05-25 19:00:00,2015-05-25 20:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_18_19_012
obs_wrf-s3cn_arw_20150525-0000_19_19_015,2015-05-25 19:00:00,2015-05-25 19:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_20_020
obs_wrf-s3cn_arw_20150525-0000_19_20_016,2015-05-25 19:00:00,2015-05-25 20:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_21_22_024
obs_wrf-s3cn_arw_20150525-0000_20_21_017,2015-05-25 20:00:00,2015-05-25 21:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_22_017
obs_wrf-s3cn_arw_20150525-0000_20_20_018,2015-05-25 20:00:00,2015-05-25 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_18_18_011
obs_wrf-s3cn_arw_20150525-0000_20_20_019,2015-05-25 20:00:00,2015-05-25 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_20_015
obs_wrf-s3cn_arw_20150525-0000_20_20_020,2015-05-25 20:00:00,2015-05-25 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_20_018
obs_wrf-s3cn_arw_20150525-0000_20_20_021,2015-05-25 20:00:00,2015-05-25 20:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_20_019
obs_wrf-s3cn_arw_20150525-0000_20_22_022,2015-05-25 20:00:00,2015-05-25 22:00:00,3.00000,wrf-s3cn_arw_uh_max_20150525-0000_21_22_025
obs_wrf-s3cn_arw_20150525-0000_20_21_023,2015-05-25 20:00:00,2015-05-25 21:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_22_23_030
obs_wrf-s3cn_arw_20150525-0000_21_22_024,2015-05-25 21:00:00,2015-05-25 22:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_25_041
obs_wrf-s3cn_arw_20150525-0000_21_21_025,2015-05-25 21:00:00,2015-05-25 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_22_22_028
obs_wrf-s3cn_arw_20150525-0000_21_21_026,2015-05-25 21:00:00,2015-05-25 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_20_021
obs_wrf-s3cn_arw_20150525-0000_21_22_027,2015-05-25 21:00:00,2015-05-25 22:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_23_24_035
obs_wrf-s3cn_arw_20150525-0000_21_21_028,2015-05-25 21:00:00,2015-05-25 21:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_24_043
obs_wrf-s3cn_arw_20150525-0000_22_22_029,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,None
obs_wrf-s3cn_arw_20150525-0000_22_22_030,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_22_22_026
obs_wrf-s3cn_arw_20150525-0000_22_22_031,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_21_21_023
obs_wrf-s3cn_arw_20150525-0000_22_22_032,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_22_23_027
obs_wrf-s3cn_arw_20150525-0000_22_22_033,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_22_22_029
obs_wrf-s3cn_arw_20150525-0000_22_22_034,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_23_23_032
obs_wrf-s3cn_arw_20150525-0000_22_22_035,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_25_25_048
obs_wrf-s3cn_arw_20150525-0000_22_22_036,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_23_23_034
obs_wrf-s3cn_arw_20150525-0000_22_22_037,2015-05-25 22:00:00,2015-05-25 22:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_23_23_033
obs_wrf-s3cn_arw_20150525-0000_24_24_038,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,None
obs_wrf-s3cn_arw_20150525-0000_24_27_039,2015-05-26 00:00:00,2015-05-26 03:00:00,4.00000,wrf-s3cn_arw_uh_max_20150525-0000_21_24_022
obs_wrf-s3cn_arw_20150525-0000_24_25_040,2015-05-26 00:00:00,2015-05-26 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_26_037
obs_wrf-s3cn_arw_20150525-0000_24_24_041,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,None
obs_wrf-s3cn_arw_20150525-0000_24_24_042,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_24_039
obs_wrf-s3cn_arw_20150525-0000_24_25_043,2015-05-26 00:00:00,2015-05-26 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_25_26_044
obs_wrf-s3cn_arw_20150525-0000_24_25_044,2015-05-26 00:00:00,2015-05-26 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_26_038
obs_wrf-s3cn_arw_20150525-0000_24_24_045,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_055
obs_wrf-s3cn_arw_20150525-0000_24_24_046,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_23_23_031
obs_wrf-s3cn_arw_20150525-0000_24_26_047,2015-05-26 00:00:00,2015-05-26 02:00:00,3.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_26_040
obs_wrf-s3cn_arw_20150525-0000_24_25_048,2015-05-26 00:00:00,2015-05-26 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_24_25_042
obs_wrf-s3cn_arw_20150525-0000_24_24_049,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_056
obs_wrf-s3cn_arw_20150525-0000_24_24_050,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_25_25_047
obs_wrf-s3cn_arw_20150525-0000_24_24_051,2015-05-26 00:00:00,2015-05-26 00:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_29_29_064
obs_wrf-s3cn_arw_20150525-0000_24_25_052,2015-05-26 00:00:00,2015-05-26 01:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_33_33_067
obs_wrf-s3cn_arw_20150525-0000_25_25_053,2015-05-26 01:00:00,2015-05-26 01:00:00,1.00000,None
obs_wrf-s3cn_arw_20150525-0000_25_26_054,2015-05-26 01:00:00,2015-05-26 02:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_051
obs_wrf-s3cn_arw_20150525-0000_25_25_055,2015-05-26 01:00:00,2015-05-26 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_053
obs_wrf-s3cn_arw_20150525-0000_25_26_056,2015-05-26 01:00:00,2015-05-26 02:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_25_25_045
obs_wrf-s3cn_arw_20150525-0000_25_25_057,2015-05-26 01:00:00,2015-05-26 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_25_25_046
obs_wrf-s3cn_arw_20150525-0000_25_26_058,2015-05-26 01:00:00,2015-05-26 02:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_27_27_058
obs_wrf-s3cn_arw_20150525-0000_25_25_059,2015-05-26 01:00:00,2015-05-26 01:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_36_36_068
obs_wrf-s3cn_arw_20150525-0000_26_31_060,2015-05-26 02:00:00,2015-05-26 07:00:00,6.00000,wrf-s3cn_arw_uh_max_20150525-0000_20_25_016
obs_wrf-s3cn_arw_20150525-0000_26_28_061,2015-05-26 02:00:00,2015-05-26 04:00:00,3.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_28_054
obs_wrf-s3cn_arw_20150525-0000_26_26_062,2015-05-26 02:00:00,2015-05-26 02:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_050
obs_wrf-s3cn_arw_20150525-0000_26_27_063,2015-05-26 02:00:00,2015-05-26 03:00:00,2.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_27_052
obs_wrf-s3cn_arw_20150525-0000_26_28_064,2015-05-26 02:00:00,2015-05-26 04:00:00,3.00000,wrf-s3cn_arw_uh_max_20150525-0000_28_30_060
obs_wrf-s3cn_arw_20150525-0000_27_27_065,2015-05-26 03:00:00,2015-05-26 03:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_26_26_049
obs_wrf-s3cn_arw_20150525-0000_27_27_066,2015-05-26 03:00:00,2015-05-26 03:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_27_27_057
obs_wrf-s3cn_arw_20150525-0000_27_27_067,2015-05-26 03:00:00,2015-05-26 03:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_28_28_062
obs_wrf-s3cn_arw_20150525-0000_28_34_068,2015-05-26 04:00:00,2015-05-26 10:00:00,7.00000,wrf-s3cn_arw_uh_max_20150525-0000_18_25_010
obs_wrf-s3cn_arw_20150525-0000_28_28_069,2015-05-26 04:00:00,2015-05-26 04:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_28_28_061
obs_wrf-s3cn_arw_20150525-0000_29_29_070,2015-05-26 05:00:00,2015-05-26 05:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_28_28_059
obs_wrf-s3cn_arw_20150525-0000_29_29_071,2015-05-26 05:00:00,2015-05-26 05:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_29_29_063
obs_wrf-s3cn_arw_20150525-0000_30_30_072,2015-05-26 06:00:00,2015-05-26 06:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_30_30_065
obs_wrf-s3cn_arw_20150525-0000_32_32_073,2015-05-26 08:00:00,2015-05-26 08:00:00,1.00000,wrf-s3cn_arw_uh_max_20150525-0000_31_31_066
obs_wrf-s3cn_arw_20150525-0000_35_35_074,2015-05-26 11:00:00,2015-05-26 11:00:00,1.00000,None
