Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150603-0000_12_13_000_00,wrf-s3cn_arw_uh_max_20150603-0000_12_13_000,2015-06-03 12:00:00,12.00000,12.00000,1.00000,-98.93177,41.30833,35.16645,66.28575,13.72490,10.76639,0.00000,0.00000,45.33982,57.47297,29.32239,5.08836,0.00000,0.00000,10.98125,17.59269,3.46576,3.12939,0.00000,0.00000,4.26120,8.41910,0.68777,1.66112,0.00000,0.00000,-3.95741,-1.24974,-6.65509,1.07778,0.00000,0.00000,8.78189,32.12967,0.00000,9.57928,0.00000,0.00000,-457.46307,-393.56543,-556.61304,29.94212,0.00000,0.00000,856.09814,954.85083,747.99640,64.35435,0.00000,0.00000,227.60582,360.42776,77.83237,65.49984,0.00000,0.00000,0.00415,0.00444,0.00370,0.00016,0.00000,0.00000,-11.50564,-10.59590,-12.22833,0.32506,0.00000,0.00000,9.28353,10.64970,8.10727,0.56753,0.00000,0.00000,58.79611,59.46159,58.34214,0.30066,0.00000,0.00000,61.38190,62.03832,60.46157,0.32057,0.00000,0.00000,11.24113,12.69808,9.13019,0.98853,0.00000,0.00000,2.24137,3.07259,0.96179,0.53940,0.00000,0.00000,-3.65082,-3.17821,-4.01185,0.24247,0.00000,0.00000,-7.74035,-6.96182,-8.15613,0.23967,0.00000,0.00000,48.95898
wrf-s3cn_arw_uh_max_20150603-0000_12_13_000_01,wrf-s3cn_arw_uh_max_20150603-0000_12_13_000,2015-06-03 13:00:00,13.00000,13.00000,2.00000,-98.41827,41.24299,35.85089,74.17927,11.87400,12.89962,0.68444,7.89352,50.56611,64.34188,37.74496,5.78435,5.22629,6.86891,10.56239,19.79433,4.76142,2.95543,-0.41886,2.20164,6.25625,17.90240,1.54162,3.21176,1.99505,9.48330,-3.81679,-1.53620,-7.09857,1.30795,0.14062,-0.28645,4.99899,51.42809,0.00000,11.09191,-3.78291,19.29842,-416.59512,-290.15988,-590.20953,54.41880,40.86795,103.40555,672.58344,737.51782,624.93439,31.20994,-183.51471,-217.33301,180.77454,368.47076,-172.42523,95.35815,-46.83128,8.04300,0.00407,0.00530,0.00260,0.00053,-0.00008,0.00087,-11.38986,-7.48039,-12.64932,1.08113,0.11578,3.11551,7.68497,9.06638,3.77958,1.08892,-1.59855,-1.58332,60.09823,60.52337,59.62672,0.20890,1.30212,1.06178,61.24462,61.97916,60.37164,0.43476,-0.13729,-0.05916,10.08794,12.02118,8.58302,0.72060,-1.15320,-0.67691,2.83967,4.06918,2.41564,0.29228,0.59830,0.99659,-3.85818,-3.28646,-4.83606,0.25226,-0.20736,-0.10825,-7.12057,-4.41642,-7.81787,0.67385,0.61978,2.54540,41.32812
wrf-s3cn_arw_uh_max_20150603-0000_12_12_001_00,wrf-s3cn_arw_uh_max_20150603-0000_12_12_001,2015-06-03 12:00:00,12.00000,12.00000,1.00000,-98.45756,41.69809,27.39288,48.07350,10.59806,8.78097,0.00000,0.00000,51.93609,58.24968,43.34781,3.49574,0.00000,0.00000,9.43519,16.41830,3.56762,2.96681,0.00000,0.00000,5.01357,10.08632,2.10731,1.77784,0.00000,0.00000,-4.86530,-2.01428,-8.89111,1.29891,0.00000,0.00000,0.56632,5.60941,0.00000,1.32989,0.00000,0.00000,-445.25684,-303.43317,-689.32965,72.59530,0.00000,0.00000,698.33801,874.52966,596.70001,70.21024,0.00000,0.00000,-32.39024,165.40147,-165.59061,90.89107,0.00000,0.00000,0.00361,0.00611,0.00099,0.00065,0.00000,0.00000,-11.40985,-6.38091,-12.97001,1.49085,0.00000,0.00000,6.70040,8.53700,3.51112,1.28185,0.00000,0.00000,59.39857,60.59961,58.62603,0.55518,0.00000,0.00000,60.73252,61.31641,59.75174,0.31088,0.00000,0.00000,8.86284,10.03417,7.99672,0.49636,0.00000,0.00000,2.66115,4.47186,1.52796,0.58248,0.00000,0.00000,-3.86105,-3.49316,-4.80533,0.22651,0.00000,0.00000,-6.75997,-3.93290,-7.96317,0.88582,0.00000,0.00000,39.70898
wrf-s3cn_arw_uh_max_20150603-0000_18_18_002_00,wrf-s3cn_arw_uh_max_20150603-0000_18_18_002,2015-06-03 18:00:00,18.00000,18.00000,1.00000,-82.67621,24.25885,40.30902,91.37238,13.13484,20.56273,0.00000,0.00000,49.56526,57.99358,38.26774,4.64260,0.00000,0.00000,11.25312,16.91181,4.66763,3.04424,0.00000,0.00000,7.98470,17.68034,2.45042,3.70362,0.00000,0.00000,-2.68553,-1.67310,-4.41107,0.57246,0.00000,0.00000,629.02795,1288.67444,0.00000,416.59467,0.00000,0.00000,-20.40736,0.00000,-209.02858,47.26589,0.00000,0.00000,195.95253,440.76572,31.09627,131.99023,0.00000,0.00000,155.51785,260.49646,-13.01611,68.63681,0.00000,0.00000,0.00253,0.00429,0.00129,0.00079,0.00000,0.00000,-5.34637,-3.56854,-6.39607,0.69576,0.00000,0.00000,8.34102,10.01227,7.24639,0.78128,0.00000,0.00000,77.02283,78.06567,75.50509,0.64242,0.00000,0.00000,78.43056,80.88454,75.50509,1.70101,0.00000,0.00000,13.62095,14.51765,12.88194,0.48037,0.00000,0.00000,4.87983,5.68049,4.46080,0.29880,0.00000,0.00000,-5.58598,-4.69860,-6.26603,0.51836,0.00000,0.00000,-5.06364,-4.78149,-5.57531,0.17969,0.00000,0.00000,32.85156
wrf-s3cn_arw_uh_max_20150603-0000_18_19_003_00,wrf-s3cn_arw_uh_max_20150603-0000_18_19_003,2015-06-03 18:00:00,18.00000,18.00000,1.00000,-93.95109,40.64775,26.81628,37.98374,12.70866,6.15464,0.00000,0.00000,49.11842,54.41007,42.22317,3.43421,0.00000,0.00000,10.27250,14.32197,6.78297,1.96052,0.00000,0.00000,6.64504,10.36390,3.19633,2.04304,0.00000,0.00000,-2.19992,-1.11009,-3.56399,0.51861,0.00000,0.00000,406.07071,656.70160,178.48665,130.77283,0.00000,0.00000,-16.80251,0.00000,-48.09129,11.52412,0.00000,0.00000,538.20880,670.66858,432.67133,64.33871,0.00000,0.00000,157.03789,230.88977,75.03799,50.17197,0.00000,0.00000,0.00162,0.00239,0.00088,0.00033,0.00000,0.00000,-9.64029,-8.88073,-10.44130,0.40713,0.00000,0.00000,6.46033,7.47746,5.59279,0.41081,0.00000,0.00000,68.44817,70.15903,66.73592,0.62012,0.00000,0.00000,70.13425,73.53831,68.35783,1.15241,0.00000,0.00000,11.94845,12.56660,11.40345,0.28659,0.00000,0.00000,3.34653,3.56573,3.01197,0.13764,0.00000,0.00000,-5.30572,-4.91425,-6.05802,0.26840,0.00000,0.00000,-6.01565,-5.45194,-6.63644,0.23992,0.00000,0.00000,25.21289
wrf-s3cn_arw_uh_max_20150603-0000_18_19_003_01,wrf-s3cn_arw_uh_max_20150603-0000_18_19_003,2015-06-03 19:00:00,19.00000,19.00000,2.00000,-93.73457,40.50170,28.98206,46.04136,6.20121,8.28058,2.16578,8.05762,45.60637,55.17793,32.73117,5.57137,-3.51205,0.76785,9.35052,15.85777,3.62674,2.71568,-0.92198,1.53580,5.90496,12.93377,1.77793,2.80840,-0.74008,2.56987,-2.19886,-1.17770,-4.72654,0.77810,0.00107,-0.06761,442.84610,1074.82019,15.03158,229.36526,36.77539,418.11859,-23.76884,0.00000,-122.16222,18.58149,-6.96633,0.00000,656.35632,822.36670,374.41849,113.28407,118.14752,151.69812,104.04567,208.03856,15.47214,42.53419,-52.99222,-22.85121,0.00202,0.00315,0.00101,0.00045,0.00040,0.00077,-9.18096,-8.12406,-9.92962,0.43367,0.45933,0.75667,6.04117,7.46528,5.37148,0.39785,-0.41916,-0.01218,69.24691,72.21880,64.25388,1.31642,0.79874,2.05977,73.37352,78.40922,64.78815,2.67016,3.23927,4.87090,11.49726,12.63070,10.97017,0.43632,-0.45119,0.06410,2.74974,3.82452,0.28398,1.03318,-0.59679,0.25880,-5.98525,-4.61696,-6.99809,0.51805,-0.67953,0.29728,-5.68211,-5.13603,-6.03935,0.16815,0.33354,0.31591,49.12207
wrf-s3cn_arw_uh_max_20150603-0000_20_21_004_00,wrf-s3cn_arw_uh_max_20150603-0000_20_21_004,2015-06-03 20:00:00,20.00000,20.00000,1.00000,-96.69821,40.46342,33.51759,45.91198,19.56860,6.85418,0.00000,0.00000,63.23012,66.29794,56.10995,2.49463,0.00000,0.00000,16.03864,20.08277,9.34045,2.80614,0.00000,0.00000,17.35894,23.72638,5.12456,4.39922,0.00000,0.00000,-5.73058,-3.35627,-8.34802,1.26173,0.00000,0.00000,516.64893,786.36438,215.34807,168.87477,0.00000,0.00000,-138.02052,-84.68481,-258.34848,44.32331,0.00000,0.00000,1160.33850,1348.32812,821.06360,133.90680,0.00000,0.00000,44.12263,86.74821,4.36082,19.36754,0.00000,0.00000,0.00431,0.00464,0.00368,0.00023,0.00000,0.00000,-10.52186,-9.83039,-10.95161,0.24441,0.00000,0.00000,7.81510,8.18610,7.48103,0.18536,0.00000,0.00000,65.96805,67.53478,64.31738,0.76278,0.00000,0.00000,76.87358,80.96733,71.17609,2.84034,0.00000,0.00000,10.17054,12.06121,8.17637,1.30022,0.00000,0.00000,2.21991,2.73216,2.08448,0.13592,0.00000,0.00000,-6.30086,-4.99535,-7.10683,0.59391,0.00000,0.00000,-6.82443,-6.59757,-7.01895,0.08755,0.00000,0.00000,45.78223
wrf-s3cn_arw_uh_max_20150603-0000_20_21_004_01,wrf-s3cn_arw_uh_max_20150603-0000_20_21_004,2015-06-03 21:00:00,21.00000,21.00000,2.00000,-96.30076,40.34502,35.07811,55.45189,15.11201,9.64427,1.56052,9.53990,57.52003,67.16814,28.63255,7.99996,-5.71009,0.87019,13.13048,19.01023,5.99707,3.19132,-2.90816,-1.07255,12.21069,26.35677,0.32253,7.60067,-5.14825,2.63039,-5.51395,-1.89061,-8.36057,1.43999,0.21663,1.46566,445.44983,730.01477,15.10886,152.13785,-71.19910,-56.34961,-119.49942,-3.48947,-208.73428,55.48777,18.52110,81.19535,1077.82568,1218.36841,764.33423,73.26901,-82.51282,-129.95972,58.07597,126.45541,-36.47648,39.16258,13.95334,39.70720,0.00342,0.00486,0.00229,0.00056,-0.00090,0.00022,-10.07215,-6.11239,-11.13382,1.12931,0.44971,3.71800,7.80871,8.32529,7.30093,0.30817,-0.00638,0.13919,67.66234,68.90785,66.38567,0.63271,1.69429,1.37307,76.45171,78.97496,71.25794,1.43207,-0.42188,-1.99237,11.17216,12.91165,9.62321,0.60859,1.00162,0.85044,2.98372,4.58831,2.15444,0.53252,0.76380,1.85615,-6.17729,-5.14797,-6.71217,0.31750,0.12357,-0.15262,-6.65803,-5.24704,-7.14331,0.40806,0.16640,1.35053,48.14062
wrf-s3cn_arw_uh_max_20150603-0000_20_20_005_00,wrf-s3cn_arw_uh_max_20150603-0000_20_20_005,2015-06-03 20:00:00,20.00000,20.00000,1.00000,-106.62553,41.57401,45.95850,72.71550,13.21715,17.46121,0.00000,0.00000,9.50775,28.86479,0.00000,8.41472,0.00000,0.00000,10.78345,18.72235,2.12940,4.61277,0.00000,0.00000,0.21872,0.77957,0.12679,0.12527,0.00000,0.00000,-2.41265,-0.77236,-5.09004,1.05514,0.00000,0.00000,939.95135,1319.63306,714.39044,170.55856,0.00000,0.00000,-26.68959,0.00000,-52.54177,15.94980,0.00000,0.00000,3874.77734,3969.34619,3662.69482,76.97714,0.00000,0.00000,110.80476,209.72766,65.17281,34.12629,0.00000,0.00000,0.00425,0.00466,0.00334,0.00027,0.00000,0.00000,-12.05433,-11.27439,-12.98964,0.35223,0.00000,0.00000,10.35192,11.04057,9.07393,0.51687,0.00000,0.00000,43.65398,45.55378,41.96317,0.90985,0.00000,0.00000,67.68733,73.74590,58.94710,4.29624,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,0.00000,0.00000,0.00000,1.47779,2.58183,0.89918,0.47610,0.00000,0.00000,-9.51525,-9.12535,-10.21683,0.32134,0.00000,0.00000,-8.33925,-7.93118,-8.95063,0.24036,0.00000,0.00000,31.59277
wrf-s3cn_arw_uh_max_20150603-0000_20_20_006_00,wrf-s3cn_arw_uh_max_20150603-0000_20_20_006,2015-06-03 20:00:00,20.00000,20.00000,1.00000,-110.41597,41.25206,39.36702,73.36360,17.05300,15.04844,0.00000,0.00000,19.62025,46.28616,0.00000,15.29294,0.00000,0.00000,9.89142,14.19202,6.29867,2.32253,0.00000,0.00000,0.45252,1.96763,0.01341,0.52111,0.00000,0.00000,-3.47605,-0.65545,-5.28278,1.06526,0.00000,0.00000,275.29764,477.42612,47.28366,121.43707,0.00000,0.00000,-15.65728,0.00000,-49.09307,14.40000,0.00000,0.00000,4323.09424,4426.74023,4140.41846,76.70331,0.00000,0.00000,141.49466,246.51787,46.09256,53.67005,0.00000,0.00000,0.00378,0.00414,0.00323,0.00024,0.00000,0.00000,-13.14585,-11.48148,-13.73623,0.45658,0.00000,0.00000,10.04437,10.90647,9.50867,0.41215,0.00000,0.00000,36.38837,40.45645,33.73474,1.59778,0.00000,0.00000,69.07839,73.52052,59.34162,3.49915,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,0.00000,0.00000,0.00000,2.18251,2.85186,1.45340,0.34723,0.00000,0.00000,-9.61891,-7.88618,-10.31053,0.59418,0.00000,0.00000,-8.67048,-7.85209,-8.99396,0.24318,0.00000,0.00000,33.88867
