Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150601-0000_19_20_000,2015-06-01 19:00:00,2015-06-01 20:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_20_20_009,87832.02080,76176.97992,-1.00000,0.00000
wrf-s3cn_arw_uh_max_20150601-0000_20_21_001,2015-06-01 20:00:00,2015-06-01 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_21_22_010,-450268.05816,520323.01571,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150601-0000_20_20_002,2015-06-01 20:00:00,2015-06-01 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_20_20_007,32859.01956,46162.56430,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150601-0000_20_23_003,2015-06-01 20:00:00,2015-06-01 23:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_21_25_013,-239463.59443,-245795.31175,-1.00000,-2.00000
wrf-s3cn_arw_uh_max_20150601-0000_20_20_004,2015-06-01 20:00:00,2015-06-01 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_20_20_008,-192823.03153,224946.81748,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_21_005,2015-06-01 21:00:00,2015-06-01 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_21_21_011,142193.37951,67603.06155,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_21_006,2015-06-01 21:00:00,2015-06-01 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_21_21_012,20196.70148,19217.60703,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_23_007,2015-06-01 21:00:00,2015-06-01 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_22_24_021,7243.61633,29599.72650,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_23_008,2015-06-01 21:00:00,2015-06-01 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_23_24_026,-372293.82427,355560.00196,-2.00000,-1.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_21_009,2015-06-01 21:00:00,2015-06-01 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_16_16_000,-715247.11061,-92883.69744,5.00000,5.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_22_010,2015-06-01 21:00:00,2015-06-01 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_22_23_023,-151837.05567,155858.74394,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150601-0000_21_22_011,2015-06-01 21:00:00,2015-06-01 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150601-0000_21_21_014,-92959.02968,-22948.12154,0.00000,1.00000
