Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150603-0000_19_19_000_00,obs_wrf-s3cn_arw_20150603-0000_19_19_000,2015-06-03 19:00:00,19.00000,19.00000,1.00000,-81.26133,31.96478,11.47769,32.85156,0.00000,8.70399,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_19_20_001_00,obs_wrf-s3cn_arw_20150603-0000_19_20_001,2015-06-03 19:00:00,19.00000,19.00000,1.00000,-83.44275,32.76979,13.28655,41.38574,0.57520,9.76890,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_19_20_001_01,obs_wrf-s3cn_arw_20150603-0000_19_20_001,2015-06-03 20:00:00,20.00000,20.00000,2.00000,-83.33905,32.70895,13.43297,42.39160,0.00000,11.86604,0.14642,1.00586
obs_wrf-s3cn_arw_20150603-0000_19_20_002_00,obs_wrf-s3cn_arw_20150603-0000_19_20_002,2015-06-03 19:00:00,19.00000,19.00000,1.00000,-96.29471,39.70964,10.45454,25.21289,0.19531,5.28254,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_19_20_002_01,obs_wrf-s3cn_arw_20150603-0000_19_20_002,2015-06-03 20:00:00,20.00000,20.00000,2.00000,-96.13723,39.49092,11.18991,49.12207,0.00000,9.39621,0.73537,23.90918
obs_wrf-s3cn_arw_20150603-0000_21_21_003_00,obs_wrf-s3cn_arw_20150603-0000_21_21_003,2015-06-03 21:00:00,21.00000,21.00000,1.00000,-84.76503,33.43751,12.34776,36.95215,0.00000,9.93644,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_22_22_004_00,obs_wrf-s3cn_arw_20150603-0000_22_22_004,2015-06-03 22:00:00,22.00000,22.00000,1.00000,-102.41177,29.08068,15.67708,55.96191,0.00000,12.69931,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_22_23_005_00,obs_wrf-s3cn_arw_20150603-0000_22_23_005,2015-06-03 22:00:00,22.00000,22.00000,1.00000,-81.95074,31.55546,11.86543,33.33496,0.03711,6.93201,0.00000,0.00000
obs_wrf-s3cn_arw_20150603-0000_22_23_005_01,obs_wrf-s3cn_arw_20150603-0000_22_23_005,2015-06-03 23:00:00,23.00000,23.00000,2.00000,-81.82475,31.44310,13.13944,32.64648,0.28125,8.88382,1.27402,-0.68848
obs_wrf-s3cn_arw_20150603-0000_23_24_006_00,obs_wrf-s3cn_arw_20150603-0000_23_24_006,2015-06-03 23:00:00,23.00000,23.00000,1.00000,-102.63111,27.75608,13.60630,64.18262,0.00000,13.17970,0.00000,0.00000
