Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150601-0000_16_16_000_00,obs_wrf-s3cn_arw_20150601-0000_16_16_000,2015-06-01 16:00:00,16.00000,16.00000,1.00000,-102.28827,46.77161,68.68242,680.54004,0.00000,105.99842,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_16_16_001_00,obs_wrf-s3cn_arw_20150601-0000_16_16_001,2015-06-01 16:00:00,16.00000,16.00000,1.00000,-102.77128,49.77894,16.65012,117.41504,0.00000,30.32932,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_16_16_002_00,obs_wrf-s3cn_arw_20150601-0000_16_16_002,2015-06-01 16:00:00,16.00000,16.00000,1.00000,-100.94479,50.13358,144.86052,348.52051,42.04590,55.16130,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_16_16_003_00,obs_wrf-s3cn_arw_20150601-0000_16_16_003,2015-06-01 16:00:00,16.00000,16.00000,1.00000,-102.92023,50.29453,96.12290,306.04980,1.28418,50.66765,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_19_20_004_00,obs_wrf-s3cn_arw_20150601-0000_19_20_004,2015-06-01 19:00:00,19.00000,19.00000,1.00000,-83.70849,30.53785,10.26146,35.42188,0.00000,8.62741,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_19_20_004_01,obs_wrf-s3cn_arw_20150601-0000_19_20_004,2015-06-01 20:00:00,20.00000,20.00000,2.00000,-83.46292,30.60623,12.83691,41.41504,0.00000,9.51343,2.57545,5.99316
obs_wrf-s3cn_arw_20150601-0000_20_21_005_00,obs_wrf-s3cn_arw_20150601-0000_20_21_005,2015-06-01 20:00:00,20.00000,20.00000,1.00000,-81.31960,28.84774,14.15537,36.70508,0.03320,9.93120,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_20_21_005_01,obs_wrf-s3cn_arw_20150601-0000_20_21_005,2015-06-01 21:00:00,21.00000,21.00000,2.00000,-81.33003,28.74660,12.02088,42.08691,0.00000,8.95246,-2.13449,5.38184
obs_wrf-s3cn_arw_20150601-0000_20_20_006_00,obs_wrf-s3cn_arw_20150601-0000_20_20_006,2015-06-01 20:00:00,20.00000,20.00000,1.00000,-74.84747,39.54788,12.74004,31.90039,0.00000,7.30213,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_20_20_007_00,obs_wrf-s3cn_arw_20150601-0000_20_20_007,2015-06-01 20:00:00,20.00000,20.00000,1.00000,-76.22961,39.90435,11.43177,24.49121,2.12402,5.72629,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_20_20_008_00,obs_wrf-s3cn_arw_20150601-0000_20_20_008,2015-06-01 20:00:00,20.00000,20.00000,1.00000,-114.70663,42.21684,13.13131,32.30176,1.50293,7.49759,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_20_20_009_00,obs_wrf-s3cn_arw_20150601-0000_20_20_009,2015-06-01 20:00:00,20.00000,20.00000,1.00000,-113.62636,43.81196,9.90289,22.98438,0.00195,6.04722,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_21_22_010_00,obs_wrf-s3cn_arw_20150601-0000_21_22_010,2015-06-01 21:00:00,21.00000,21.00000,1.00000,-104.26418,36.25569,13.35118,44.93164,0.00000,11.30670,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_21_22_010_01,obs_wrf-s3cn_arw_20150601-0000_21_22_010,2015-06-01 22:00:00,22.00000,22.00000,2.00000,-103.96492,36.34038,19.03734,52.21191,0.00000,9.21246,5.68617,7.28027
obs_wrf-s3cn_arw_20150601-0000_21_21_011_00,obs_wrf-s3cn_arw_20150601-0000_21_21_011,2015-06-01 21:00:00,21.00000,21.00000,1.00000,-78.45789,38.90047,14.61779,48.58984,0.04102,12.45329,0.00000,0.00000
obs_wrf-s3cn_arw_20150601-0000_21_21_012_00,obs_wrf-s3cn_arw_20150601-0000_21_21_012,2015-06-01 21:00:00,21.00000,21.00000,1.00000,-114.19910,41.51129,12.92917,33.86719,0.00000,9.25808,0.00000,0.00000
