Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150527-0000_15_15_000_00,wrf-s3cn_arw_uh_max_20150527-0000_15_15_000,2015-05-27 15:00:00,15.00000,15.00000,1.00000,-89.73009,31.71073,27.53182,70.61787,2.35104,14.46760,0.00000,0.00000,57.59561,68.96080,35.86401,6.87504,0.00000,0.00000,15.52926,26.95313,5.60669,5.25463,0.00000,0.00000,12.86635,31.78842,0.99810,6.20706,0.00000,0.00000,-4.69795,-1.99370,-8.13908,1.33178,0.00000,0.00000,1702.96509,2037.11914,1320.12402,180.65613,0.00000,0.00000,-2.33182,0.00000,-22.19008,3.74790,0.00000,0.00000,294.43176,387.47534,234.67758,32.19083,0.00000,0.00000,63.33158,119.83498,37.30196,18.99512,0.00000,0.00000,0.00247,0.00339,0.00203,0.00031,0.00000,0.00000,-11.62220,-10.60573,-13.12108,0.58646,0.00000,0.00000,5.37533,7.95237,4.64253,0.61480,0.00000,0.00000,72.18156,74.23969,70.22918,1.20364,0.00000,0.00000,73.80317,77.90220,71.29722,1.78221,0.00000,0.00000,12.05220,13.20789,11.24414,0.42107,0.00000,0.00000,1.70122,3.08308,0.83824,0.73868,0.00000,0.00000,-5.80230,-4.61394,-6.39258,0.35672,0.00000,0.00000,-6.38333,-5.84268,-7.55450,0.30952,0.00000,0.00000,20.07422
wrf-s3cn_arw_uh_max_20150527-0000_15_15_001_00,wrf-s3cn_arw_uh_max_20150527-0000_15_15_001,2015-05-27 15:00:00,15.00000,15.00000,1.00000,-88.57393,38.19487,28.19318,49.92993,10.66353,9.94469,0.00000,0.00000,56.21230,64.07164,44.92884,4.97331,0.00000,0.00000,12.55930,20.29554,5.36264,4.09309,0.00000,0.00000,9.61199,19.55879,2.39908,4.90208,0.00000,0.00000,-4.24630,-2.63442,-6.86804,1.12481,0.00000,0.00000,1461.54932,1603.17017,1324.33325,69.29393,0.00000,0.00000,-28.76727,-1.96016,-35.82249,7.92854,0.00000,0.00000,659.68872,679.07574,625.72455,12.47550,0.00000,0.00000,53.52868,68.64139,29.13367,10.82070,0.00000,0.00000,0.00243,0.00290,0.00202,0.00021,0.00000,0.00000,-14.20739,-13.62890,-14.66835,0.26468,0.00000,0.00000,2.78891,3.06479,2.36244,0.19267,0.00000,0.00000,68.46531,68.87484,68.07224,0.24956,0.00000,0.00000,75.96385,76.37521,75.41714,0.26016,0.00000,0.00000,10.99148,11.67656,10.31427,0.36696,0.00000,0.00000,1.18686,1.32258,1.02640,0.07162,0.00000,0.00000,-7.14856,-7.05359,-7.24242,0.04681,0.00000,0.00000,-6.46513,-6.19747,-6.67035,0.13598,0.00000,0.00000,25.60742
wrf-s3cn_arw_uh_max_20150527-0000_16_18_002_00,wrf-s3cn_arw_uh_max_20150527-0000_16_18_002,2015-05-27 16:00:00,16.00000,16.00000,1.00000,-89.06514,32.23606,37.43186,87.84512,7.66039,19.42373,0.00000,0.00000,54.16238,68.78383,21.24025,11.08570,0.00000,0.00000,14.50602,29.01443,3.82693,6.02930,0.00000,0.00000,11.89733,31.32243,0.51966,8.19642,0.00000,0.00000,-4.54461,-1.11882,-9.44278,1.87597,0.00000,0.00000,1592.45581,2363.47266,1149.96045,241.97832,0.00000,0.00000,-4.40848,0.00000,-30.34789,5.51827,0.00000,0.00000,367.68341,480.54205,235.46013,59.27143,0.00000,0.00000,47.78838,62.70093,27.20595,9.07248,0.00000,0.00000,0.00230,0.00281,0.00130,0.00033,0.00000,0.00000,-10.75372,-9.45335,-11.92234,0.34700,0.00000,0.00000,5.37179,6.22693,4.83843,0.29298,0.00000,0.00000,73.00785,74.86063,70.43814,0.89652,0.00000,0.00000,75.58916,78.38005,71.88449,1.39340,0.00000,0.00000,11.21681,13.69222,10.04692,0.70879,0.00000,0.00000,1.84484,2.84369,0.84663,0.71414,0.00000,0.00000,-6.10216,-5.51699,-6.68888,0.29380,0.00000,0.00000,-6.05391,-5.64508,-6.32071,0.12884,0.00000,0.00000,23.25977
wrf-s3cn_arw_uh_max_20150527-0000_16_18_002_01,wrf-s3cn_arw_uh_max_20150527-0000_16_18_002,2015-05-27 17:00:00,17.00000,17.00000,2.00000,-88.57654,32.61185,32.29825,80.53202,1.42642,15.84697,-5.13361,-7.31310,52.91673,71.97063,22.06301,9.47940,-1.24565,3.18680,12.31803,27.70509,4.21836,5.11838,-2.18800,-1.30934,10.18631,41.68126,0.67893,7.63758,-1.71102,10.35884,-3.90381,-1.65606,-11.75881,1.69073,0.64080,-0.53725,1228.84924,2142.72583,0.00000,486.37860,-363.60657,-220.74683,-17.99419,0.00000,-421.63162,59.33173,-13.58571,0.00000,354.35275,544.78650,190.22847,92.72321,-13.33066,64.24445,19.18915,94.30576,-80.53786,35.89798,-28.59923,31.60484,0.00243,0.00442,0.00124,0.00063,0.00012,0.00162,-10.41264,-6.50327,-11.73632,0.82137,0.34108,2.95009,5.09082,7.94191,3.59865,0.59184,-0.28097,1.71498,72.43346,75.26883,65.58900,1.55153,-0.57439,0.40820,75.16961,80.17604,66.66296,2.68239,-0.41955,1.79599,11.58344,13.21615,9.23499,0.82431,0.36663,-0.47607,2.50687,4.42226,0.82648,0.74140,0.66203,1.57857,-6.06522,-4.28891,-7.03092,0.57408,0.03694,1.22808,-5.81334,-4.70239,-7.38782,0.32982,0.24057,0.94269,23.25977
wrf-s3cn_arw_uh_max_20150527-0000_16_18_002_02,wrf-s3cn_arw_uh_max_20150527-0000_16_18_002,2015-05-27 18:00:00,18.00000,18.00000,3.00000,-88.10216,32.76804,30.59095,65.28957,10.66169,12.10336,-1.70729,-15.24245,50.30701,65.84955,33.31216,8.15947,-2.60972,-6.12108,12.09834,22.28266,4.26175,4.08974,-0.21969,-5.42244,7.97228,21.55838,1.40786,5.05240,-2.21403,-20.12288,-3.11923,-1.28648,-7.53359,1.25429,0.78458,0.36959,1076.83020,2018.62781,0.68503,530.25293,-152.01904,-124.09802,-25.26769,0.00000,-457.04944,69.18822,-7.27350,0.00000,358.16055,560.05328,146.00764,106.15865,3.80780,15.26678,59.71507,195.16467,10.66033,40.42782,40.52591,100.85891,0.00225,0.00316,0.00126,0.00037,-0.00018,-0.00126,-10.47654,-9.15351,-12.56487,0.64595,-0.06390,-2.65024,4.71183,6.57516,4.10244,0.43564,-0.37899,-1.36675,71.87373,73.84171,66.01719,1.70830,-0.55973,-1.42712,75.12860,79.09801,67.01398,2.84037,-0.04101,-1.07803,11.55285,12.81174,9.89835,0.47829,-0.03059,-0.40441,2.62167,3.50450,0.91601,0.65124,0.11480,-0.91777,-6.11254,-4.04712,-6.95531,0.58837,-0.04732,0.24179,-5.70044,-5.25078,-6.72807,0.28115,0.11290,-0.54839,20.84375
wrf-s3cn_arw_uh_max_20150527-0000_16_16_003_00,wrf-s3cn_arw_uh_max_20150527-0000_16_16_003,2015-05-27 16:00:00,16.00000,16.00000,1.00000,-87.61638,38.59076,33.44090,48.64612,18.23779,7.86081,0.00000,0.00000,55.22535,63.80523,45.75111,4.18863,0.00000,0.00000,11.42735,19.99343,3.11571,3.92978,0.00000,0.00000,9.36097,16.17621,3.77048,3.56416,0.00000,0.00000,-3.64623,-1.41606,-6.33289,1.25654,0.00000,0.00000,1399.33850,1559.65723,1124.33228,100.25441,0.00000,0.00000,-1.13798,0.00000,-11.46212,2.65794,0.00000,0.00000,805.37958,859.33020,762.67877,31.49196,0.00000,0.00000,5.06452,28.79482,-5.85837,8.54428,0.00000,0.00000,0.00241,0.00251,0.00233,0.00004,0.00000,0.00000,-13.11514,-12.85795,-13.46099,0.13900,0.00000,0.00000,2.57507,2.81096,2.41911,0.10453,0.00000,0.00000,68.58992,69.03804,68.06306,0.22538,0.00000,0.00000,78.00136,78.83318,77.11601,0.52565,0.00000,0.00000,10.07211,11.30128,8.10224,0.98516,0.00000,0.00000,0.73041,0.84815,0.62772,0.05395,0.00000,0.00000,-7.61970,-7.52175,-7.77107,0.06812,0.00000,0.00000,-5.94736,-5.87923,-6.04184,0.03347,0.00000,0.00000,25.98047
wrf-s3cn_arw_uh_max_20150527-0000_16_16_004_00,wrf-s3cn_arw_uh_max_20150527-0000_16_16_004,2015-05-27 16:00:00,16.00000,16.00000,1.00000,-87.45566,38.91935,35.98989,72.19727,9.14665,13.54414,0.00000,0.00000,51.46740,64.85771,33.13625,7.67752,0.00000,0.00000,12.12650,20.80703,2.03384,4.22678,0.00000,0.00000,9.02040,24.74638,0.83941,6.27768,0.00000,0.00000,-3.21848,-0.76899,-6.40422,1.39709,0.00000,0.00000,889.67004,1225.06006,656.26300,145.50966,0.00000,0.00000,-42.91927,-4.23735,-69.04845,19.10385,0.00000,0.00000,872.53955,942.94086,782.27539,42.77269,0.00000,0.00000,38.63811,77.75686,10.90413,18.06528,0.00000,0.00000,0.00245,0.00257,0.00232,0.00006,0.00000,0.00000,-13.60781,-13.01645,-13.91349,0.23708,0.00000,0.00000,2.46844,2.60988,2.22007,0.08266,0.00000,0.00000,67.18706,68.32432,66.37138,0.48276,0.00000,0.00000,77.30683,77.77734,76.79049,0.22389,0.00000,0.00000,8.10092,11.06493,6.88203,1.03344,0.00000,0.00000,1.13052,1.22642,0.90084,0.08871,0.00000,0.00000,-7.56708,-7.44768,-7.67869,0.05059,0.00000,0.00000,-6.09487,-5.81705,-6.24283,0.09909,0.00000,0.00000,20.54199
wrf-s3cn_arw_uh_max_20150527-0000_18_18_005_00,wrf-s3cn_arw_uh_max_20150527-0000_18_18_005,2015-05-27 18:00:00,18.00000,18.00000,1.00000,-87.61992,32.82195,37.88845,57.12614,7.59683,12.17101,0.00000,0.00000,54.84649,67.66207,40.50772,6.84856,0.00000,0.00000,12.43097,23.46963,3.47939,4.31086,0.00000,0.00000,10.47849,26.53876,2.21695,6.19964,0.00000,0.00000,-2.40055,-0.79738,-6.11293,1.41717,0.00000,0.00000,1107.10144,1416.85303,789.57220,168.55888,0.00000,0.00000,-8.71130,0.00000,-27.66644,8.15683,0.00000,0.00000,473.84586,569.42444,351.20993,57.74419,0.00000,0.00000,65.78692,87.45624,45.17448,11.70463,0.00000,0.00000,0.00264,0.00279,0.00241,0.00011,0.00000,0.00000,-10.03007,-9.77907,-10.26523,0.14047,0.00000,0.00000,5.06215,5.44129,4.45164,0.31110,0.00000,0.00000,72.57260,73.08453,72.00166,0.25284,0.00000,0.00000,78.36153,79.91594,75.83391,0.96707,0.00000,0.00000,10.15931,10.43300,9.92807,0.14425,0.00000,0.00000,0.82840,1.61434,0.68304,0.23488,0.00000,0.00000,-6.64355,-6.18217,-7.07846,0.23842,0.00000,0.00000,-5.65895,-5.43938,-5.83847,0.11840,0.00000,0.00000,19.03125
wrf-s3cn_arw_uh_max_20150527-0000_18_18_006_00,wrf-s3cn_arw_uh_max_20150527-0000_18_18_006,2015-05-27 18:00:00,18.00000,18.00000,1.00000,-87.98545,33.11493,36.03246,72.71147,4.94067,19.58473,0.00000,0.00000,46.76431,68.30305,21.95632,12.32275,0.00000,0.00000,11.52197,22.49630,5.17558,4.31994,0.00000,0.00000,8.27094,26.44136,0.40218,6.73132,0.00000,0.00000,-3.59642,-1.83336,-6.90487,1.55071,0.00000,0.00000,754.73254,1680.86377,157.98076,387.50406,0.00000,0.00000,-11.51598,0.00000,-67.28400,16.36061,0.00000,0.00000,820.33618,1092.07971,533.25787,133.36557,0.00000,0.00000,110.69598,154.45116,61.33782,27.92016,0.00000,0.00000,0.00223,0.00288,0.00169,0.00032,0.00000,0.00000,-9.93001,-8.96681,-10.58013,0.32288,0.00000,0.00000,5.23617,5.78457,4.09431,0.33092,0.00000,0.00000,69.84808,73.14061,66.92856,1.36900,0.00000,0.00000,79.24691,81.51318,74.87480,1.68366,0.00000,0.00000,10.49290,12.54474,9.58041,0.66426,0.00000,0.00000,3.24085,3.51707,3.08489,0.08414,0.00000,0.00000,-6.75627,-6.14640,-7.18697,0.30137,0.00000,0.00000,-5.68430,-4.88561,-5.99718,0.19717,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150527-0000_19_19_007_00,wrf-s3cn_arw_uh_max_20150527-0000_19_19_007,2015-05-27 19:00:00,19.00000,19.00000,1.00000,-87.40409,32.24099,33.84536,82.31860,6.03351,16.77482,0.00000,0.00000,54.05671,68.64184,35.27138,7.66899,0.00000,0.00000,12.64450,23.46263,4.32793,4.28667,0.00000,0.00000,10.23460,28.53289,1.96162,5.89152,0.00000,0.00000,-4.04849,-1.75543,-7.60640,1.41171,0.00000,0.00000,1534.77637,2223.72192,998.63629,256.93002,0.00000,0.00000,-3.65416,0.00000,-13.72823,3.53897,0.00000,0.00000,554.73956,694.64355,222.31630,94.24626,0.00000,0.00000,51.28851,171.79910,-6.66987,40.32939,0.00000,0.00000,0.00286,0.00373,0.00201,0.00040,0.00000,0.00000,-10.25067,-7.43355,-11.15643,0.65328,0.00000,0.00000,5.47572,7.39590,4.49396,0.45985,0.00000,0.00000,73.01768,75.98695,71.86664,0.71169,0.00000,0.00000,78.88704,82.39643,73.93739,2.00687,0.00000,0.00000,11.20740,13.39539,10.27425,0.68741,0.00000,0.00000,2.21392,4.07617,0.75673,0.85033,0.00000,0.00000,-6.57977,-5.03214,-7.17257,0.42661,0.00000,0.00000,-5.88677,-5.14420,-6.67851,0.27625,0.00000,0.00000,51.95898
