Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150603-0000_12_13_000,2015-06-03 12:00:00,2015-06-03 13:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_24_26_013,61608.48868,327713.82545,-12.00000,-13.00000
wrf-s3cn_arw_uh_max_20150603-0000_12_12_001,2015-06-03 12:00:00,2015-06-03 12:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_26_26_018,24496.21784,274285.61867,-14.00000,-14.00000
wrf-s3cn_arw_uh_max_20150603-0000_18_18_002,2015-06-03 18:00:00,2015-06-03 18:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_19_19_000,23822.23301,-875694.27569,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_18_19_003,2015-06-03 18:00:00,2015-06-03 19:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_19_20_002,190671.49632,105656.03761,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_20_21_004,2015-06-03 20:00:00,2015-06-03 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_25_29_015,201994.76828,132703.75677,-5.00000,-8.00000
wrf-s3cn_arw_uh_max_20150603-0000_20_20_005,2015-06-03 20:00:00,2015-06-03 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_26_26_022,-122132.12604,-97824.24359,-6.00000,-6.00000
wrf-s3cn_arw_uh_max_20150603-0000_20_20_006,2015-06-03 20:00:00,2015-06-03 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_26_26_021,186213.21120,-79083.20720,-6.00000,-6.00000
wrf-s3cn_arw_uh_max_20150603-0000_20_23_007,2015-06-03 20:00:00,2015-06-03 23:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_23_24_011,-11517.43046,19813.95579,-3.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_22_22_008,2015-06-03 22:00:00,2015-06-03 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_23_23_010,-66109.03759,-92654.38676,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_22_31_009,2015-06-03 22:00:00,2015-06-04 07:00:00,10.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_26_36_020,-58409.19311,237368.73366,-4.00000,-5.00000
wrf-s3cn_arw_uh_max_20150603-0000_23_23_010,2015-06-03 23:00:00,2015-06-03 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_23_23_007,90311.64462,-142368.59554,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150603-0000_24_24_011,2015-06-04 00:00:00,2015-06-04 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_23_25_009,-17552.92334,-6332.82405,1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_24_24_012,2015-06-04 00:00:00,2015-06-04 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_25_26_016,-195930.02534,-7464.42237,-1.00000,-2.00000
wrf-s3cn_arw_uh_max_20150603-0000_24_24_013,2015-06-04 00:00:00,2015-06-04 00:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_25_26_017,-41472.15548,25225.87008,-1.00000,-2.00000
wrf-s3cn_arw_uh_max_20150603-0000_24_27_014,2015-06-04 00:00:00,2015-06-04 03:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_30_31_037,-137051.13260,-24799.35414,-6.00000,-4.00000
wrf-s3cn_arw_uh_max_20150603-0000_25_26_015,2015-06-04 01:00:00,2015-06-04 02:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_23_24_006,118099.63664,-437297.07995,2.00000,2.00000
wrf-s3cn_arw_uh_max_20150603-0000_25_25_016,2015-06-04 01:00:00,2015-06-04 01:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_22_23_005,715406.60469,-377605.61593,3.00000,2.00000
wrf-s3cn_arw_uh_max_20150603-0000_26_28_017,2015-06-04 02:00:00,2015-06-04 04:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_29_30_031,-56328.61789,-148769.63077,-3.00000,-2.00000
wrf-s3cn_arw_uh_max_20150603-0000_26_26_018,2015-06-04 02:00:00,2015-06-04 02:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_27_27_024,-94977.57721,3882.79015,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150603-0000_26_28_019,2015-06-04 02:00:00,2015-06-04 04:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_28_30_028,-6531.67761,70079.41426,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150603-0000_27_27_020,2015-06-04 03:00:00,2015-06-04 03:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_31_31_038,187910.06348,-168607.46364,-4.00000,-4.00000
wrf-s3cn_arw_uh_max_20150603-0000_27_27_021,2015-06-04 03:00:00,2015-06-04 03:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_29_30_032,183660.86057,-131567.86069,-2.00000,-3.00000
wrf-s3cn_arw_uh_max_20150603-0000_27_34_022,2015-06-04 03:00:00,2015-06-04 10:00:00,8.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150603-0000_26_31_019,53374.30803,37844.37642,1.00000,3.00000
