Obs_Track_ID,Start_Date,End_Date,Duration,Track_ID
obs_wrf-s3cn_arw_20150528-0000_12_12_000,2015-05-28 12:00:00,2015-05-28 12:00:00,1.00000,wrf-s3cn_arw_uh_max_20150528-0000_17_17_003
obs_wrf-s3cn_arw_20150528-0000_13_13_001,2015-05-28 13:00:00,2015-05-28 13:00:00,1.00000,wrf-s3cn_arw_uh_max_20150528-0000_14_14_002
obs_wrf-s3cn_arw_20150528-0000_13_14_002,2015-05-28 13:00:00,2015-05-28 14:00:00,2.00000,wrf-s3cn_arw_uh_max_20150528-0000_18_19_004
obs_wrf-s3cn_arw_20150528-0000_15_15_003,2015-05-28 15:00:00,2015-05-28 15:00:00,1.00000,wrf-s3cn_arw_uh_max_20150528-0000_22_22_024
obs_wrf-s3cn_arw_20150528-0000_17_18_004,2015-05-28 17:00:00,2015-05-28 18:00:00,2.00000,wrf-s3cn_arw_uh_max_20150528-0000_23_24_034
obs_wrf-s3cn_arw_20150528-0000_18_19_005,2015-05-28 18:00:00,2015-05-28 19:00:00,2.00000,wrf-s3cn_arw_uh_max_20150528-0000_19_20_006
obs_wrf-s3cn_arw_20150528-0000_18_22_006,2015-05-28 18:00:00,2015-05-28 22:00:00,5.00000,wrf-s3cn_arw_uh_max_20150528-0000_23_25_030
obs_wrf-s3cn_arw_20150528-0000_18_20_007,2015-05-28 18:00:00,2015-05-28 20:00:00,3.00000,wrf-s3cn_arw_uh_max_20150528-0000_25_26_050
obs_wrf-s3cn_arw_20150528-0000_19_22_008,2015-05-28 19:00:00,2015-05-28 22:00:00,4.00000,wrf-s3cn_arw_uh_max_20150528-0000_21_22_014
obs_wrf-s3cn_arw_20150528-0000_19_22_009,2015-05-28 19:00:00,2015-05-28 22:00:00,4.00000,wrf-s3cn_arw_uh_max_20150528-0000_19_22_007
obs_wrf-s3cn_arw_20150528-0000_19_19_010,2015-05-28 19:00:00,2015-05-28 19:00:00,1.00000,wrf-s3cn_arw_uh_max_20150528-0000_19_21_008
obs_wrf-s3cn_arw_20150528-0000_20_22_011,2015-05-28 20:00:00,2015-05-28 22:00:00,3.00000,wrf-s3cn_arw_uh_max_20150528-0000_22_23_021
obs_wrf-s3cn_arw_20150528-0000_20_22_012,2015-05-28 20:00:00,2015-05-28 22:00:00,3.00000,wrf-s3cn_arw_uh_max_20150528-0000_21_23_015
