Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150529-0000_12_13_000,2015-05-29 12:00:00,2015-05-29 13:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_24_25_009,-34674.10945,59907.59283,-12.00000,-12.00000
wrf-s3cn_arw_uh_max_20150529-0000_19_19_001,2015-05-29 19:00:00,2015-05-29 19:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_24_24_012,-191285.02950,112398.14295,-5.00000,-5.00000
wrf-s3cn_arw_uh_max_20150529-0000_19_19_002,2015-05-29 19:00:00,2015-05-29 19:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_21_21_001,725347.98229,334263.31766,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150529-0000_19_20_003,2015-05-29 19:00:00,2015-05-29 20:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_19_19_004,2015-05-29 19:00:00,2015-05-29 19:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_20_20_005,2015-05-29 20:00:00,2015-05-29 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_20_20_006,2015-05-29 20:00:00,2015-05-29 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_20_20_007,2015-05-29 20:00:00,2015-05-29 20:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_20_21_008,2015-05-29 20:00:00,2015-05-29 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_21_21_009,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_22_22_004,312189.69477,268746.61574,-1.00000,-1.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_23_010,2015-05-29 21:00:00,2015-05-29 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_23_25_006,250012.29071,166031.26103,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_21_011,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_23_23_007,-129562.31087,72895.24172,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_21_012,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_21_23_002,5173.98751,-10853.81671,0.00000,-2.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_24_013,2015-05-29 21:00:00,2015-05-30 00:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_21_23_003,29647.58053,4483.43286,0.00000,1.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_22_014,2015-05-29 21:00:00,2015-05-29 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_23_24_008,-115072.12121,14594.52911,-2.00000,-2.00000
wrf-s3cn_arw_uh_max_20150529-0000_21_21_015,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_21_21_016,2015-05-29 21:00:00,2015-05-29 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_21_23_017,2015-05-29 21:00:00,2015-05-29 23:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_22_25_018,2015-05-29 22:00:00,2015-05-30 01:00:00,4.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_22_25_005,144941.43338,70475.92096,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150529-0000_22_22_019,2015-05-29 22:00:00,2015-05-29 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_22_22_020,2015-05-29 22:00:00,2015-05-29 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150529-0000_23_23_021,2015-05-29 23:00:00,2015-05-29 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_20_20_000,-72161.32348,-15001.33266,3.00000,3.00000
wrf-s3cn_arw_uh_max_20150529-0000_23_23_022,2015-05-29 23:00:00,2015-05-29 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150529-0000_25_25_018,300850.73610,-249333.62885,-2.00000,-2.00000
