Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150522-0000_15_15_000_00,obs_wrf-s3cn_arw_20150522-0000_15_15_000,2015-05-22 15:00:00,15.00000,15.00000,1.00000,-96.57072,23.81811,10.50908,20.20703,0.46191,3.78697,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_20_22_001_00,obs_wrf-s3cn_arw_20150522-0000_20_22_001,2015-05-22 20:00:00,20.00000,20.00000,1.00000,-84.06014,22.46791,13.83990,27.12012,0.01758,8.22307,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_20_22_001_01,obs_wrf-s3cn_arw_20150522-0000_20_22_001,2015-05-22 21:00:00,21.00000,21.00000,2.00000,-83.83439,22.47997,13.27573,43.80957,0.00000,9.10803,-0.56417,16.68945
obs_wrf-s3cn_arw_20150522-0000_20_22_001_02,obs_wrf-s3cn_arw_20150522-0000_20_22_001,2015-05-22 22:00:00,22.00000,22.00000,3.00000,-83.75872,22.46910,15.05951,40.43457,0.00000,11.12563,1.78378,-3.37500
obs_wrf-s3cn_arw_20150522-0000_20_20_002_00,obs_wrf-s3cn_arw_20150522-0000_20_20_002,2015-05-22 20:00:00,20.00000,20.00000,1.00000,-80.53498,27.11028,13.75973,29.53320,1.91895,7.84725,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_21_21_003_00,obs_wrf-s3cn_arw_20150522-0000_21_21_003,2015-05-22 21:00:00,21.00000,21.00000,1.00000,-80.76067,25.51334,12.39331,33.32812,0.00000,8.39261,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_21_21_004_00,obs_wrf-s3cn_arw_20150522-0000_21_21_004,2015-05-22 21:00:00,21.00000,21.00000,1.00000,-80.75839,25.94649,12.04855,35.38477,1.56055,9.02604,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_22_22_005_00,obs_wrf-s3cn_arw_20150522-0000_22_22_005,2015-05-22 22:00:00,22.00000,22.00000,1.00000,-80.26655,22.27441,12.85479,32.72168,0.00000,9.52051,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_22_22_006_00,obs_wrf-s3cn_arw_20150522-0000_22_22_006,2015-05-22 22:00:00,22.00000,22.00000,1.00000,-81.59413,22.56118,12.29867,30.90820,0.00000,8.51358,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_22_22_007_00,obs_wrf-s3cn_arw_20150522-0000_22_22_007,2015-05-22 22:00:00,22.00000,22.00000,1.00000,-100.48038,25.06141,12.66929,48.61035,0.00000,11.43832,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_22_22_008_00,obs_wrf-s3cn_arw_20150522-0000_22_22_008,2015-05-22 22:00:00,22.00000,22.00000,1.00000,-103.30689,28.49217,12.95117,45.39551,0.00000,10.03323,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_22_22_009_00,obs_wrf-s3cn_arw_20150522-0000_22_22_009,2015-05-22 22:00:00,22.00000,22.00000,1.00000,-103.48490,29.34485,12.25828,27.32129,0.00000,7.55977,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_24_27_010_00,obs_wrf-s3cn_arw_20150522-0000_24_27_010,2015-05-23 00:00:00,24.00000,0.00000,1.00000,-102.61291,28.31906,14.27736,70.60352,0.00000,13.16209,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_24_27_010_01,obs_wrf-s3cn_arw_20150522-0000_24_27_010,2015-05-23 01:00:00,25.00000,1.00000,2.00000,-102.56074,28.30949,23.63229,62.25195,0.00000,13.55020,9.35493,-8.35156
obs_wrf-s3cn_arw_20150522-0000_24_27_010_02,obs_wrf-s3cn_arw_20150522-0000_24_27_010,2015-05-23 02:00:00,26.00000,2.00000,3.00000,-102.21413,28.35000,20.74787,76.52930,0.00000,15.96926,-2.88442,14.27734
obs_wrf-s3cn_arw_20150522-0000_24_27_010_03,obs_wrf-s3cn_arw_20150522-0000_24_27_010,2015-05-23 03:00:00,27.00000,3.00000,4.00000,-101.98261,28.37790,13.16176,40.69043,0.00000,8.55380,-7.58611,-35.83887
obs_wrf-s3cn_arw_20150522-0000_24_25_011_00,obs_wrf-s3cn_arw_20150522-0000_24_25_011,2015-05-23 00:00:00,24.00000,0.00000,1.00000,-103.38782,30.55163,18.15204,65.91309,0.44629,11.40615,0.00000,0.00000
obs_wrf-s3cn_arw_20150522-0000_24_25_011_01,obs_wrf-s3cn_arw_20150522-0000_24_25_011,2015-05-23 01:00:00,25.00000,1.00000,2.00000,-103.56115,30.66798,13.77597,47.30859,-0.00000,11.98156,-4.37608,-18.60449
