Track_ID,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
wrf-s3cn_arw_uh_max_20150602-0000_13_15_000,2015-06-02 13:00:00,2015-06-02 15:00:00,3.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_12_12_000,-36898.91761,24494.60976,1.00000,3.00000
wrf-s3cn_arw_uh_max_20150602-0000_18_18_001,2015-06-02 18:00:00,2015-06-02 18:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_20_21_002,2015-06-02 20:00:00,2015-06-02 21:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_21_21_003,2015-06-02 21:00:00,2015-06-02 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_21_22_004,2015-06-02 21:00:00,2015-06-02 22:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_26_27_021,42609.71960,-19098.04766,-5.00000,-5.00000
wrf-s3cn_arw_uh_max_20150602-0000_21_21_005,2015-06-02 21:00:00,2015-06-02 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_21_21_003,53120.47229,51609.47481,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_21_21_006,2015-06-02 21:00:00,2015-06-02 21:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_22_22_007,2015-06-02 22:00:00,2015-06-02 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_22_22_006,125012.96095,8223.40998,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_22_22_008,2015-06-02 22:00:00,2015-06-02 22:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_23_23_009,2015-06-02 23:00:00,2015-06-02 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_23_23_010,2015-06-02 23:00:00,2015-06-02 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_21_22_002,41814.35014,-14569.79093,2.00000,1.00000
wrf-s3cn_arw_uh_max_20150602-0000_23_24_011,2015-06-02 23:00:00,2015-06-03 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_22_27_008,34825.12734,-12515.54465,1.00000,-3.00000
wrf-s3cn_arw_uh_max_20150602-0000_23_23_012,2015-06-02 23:00:00,2015-06-02 23:00:00,1.00000,SSEF,wrf-s3cn_arw,uh_max,None,nan,nan,nan,nan
wrf-s3cn_arw_uh_max_20150602-0000_23_24_013,2015-06-02 23:00:00,2015-06-03 00:00:00,2.00000,SSEF,wrf-s3cn_arw,uh_max,obs_wrf-s3cn_arw_20150602-0000_21_25_004,253601.74767,-108696.87561,2.00000,-1.00000
