Step_ID,Obs_Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,MESH_mean,MESH_max,MESH_min,MESH_std,MESH_mean_dt,MESH_max_dt
obs_wrf-s3cn_arw_20150528-0000_12_12_000_00,obs_wrf-s3cn_arw_20150528-0000_12_12_000,2015-05-28 12:00:00,12.00000,12.00000,1.00000,-97.16203,35.14360,11.32370,24.96289,0.00000,5.79883,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_13_13_001_00,obs_wrf-s3cn_arw_20150528-0000_13_13_001,2015-05-28 13:00:00,13.00000,13.00000,1.00000,-97.05958,33.71633,9.59593,45.25586,0.71191,6.77780,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_13_14_002_00,obs_wrf-s3cn_arw_20150528-0000_13_14_002,2015-05-28 13:00:00,13.00000,13.00000,1.00000,-96.73964,34.18472,9.46186,26.70312,0.00000,4.63469,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_13_14_002_01,obs_wrf-s3cn_arw_20150528-0000_13_14_002,2015-05-28 14:00:00,14.00000,14.00000,2.00000,-96.60752,34.04630,10.57286,26.57227,3.09863,5.11283,1.11100,-0.13086
obs_wrf-s3cn_arw_20150528-0000_15_15_003_00,obs_wrf-s3cn_arw_20150528-0000_15_15_003,2015-05-28 15:00:00,15.00000,15.00000,1.00000,-102.29544,34.00939,12.11328,21.90820,4.52539,4.68907,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_17_18_004_00,obs_wrf-s3cn_arw_20150528-0000_17_18_004,2015-05-28 17:00:00,17.00000,17.00000,1.00000,-102.55600,33.58791,14.51926,48.31934,0.00000,10.34755,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_17_18_004_01,obs_wrf-s3cn_arw_20150528-0000_17_18_004,2015-05-28 18:00:00,18.00000,18.00000,2.00000,-102.29268,33.57513,18.43132,43.16602,0.85449,8.97660,3.91206,-5.15332
obs_wrf-s3cn_arw_20150528-0000_18_19_005_00,obs_wrf-s3cn_arw_20150528-0000_18_19_005,2015-05-28 18:00:00,18.00000,18.00000,1.00000,-93.62210,33.87663,8.88332,27.21094,0.00000,6.75228,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_18_19_005_01,obs_wrf-s3cn_arw_20150528-0000_18_19_005,2015-05-28 19:00:00,19.00000,19.00000,2.00000,-93.16360,33.54439,9.19907,25.42480,0.00000,5.21664,0.31575,-1.78613
obs_wrf-s3cn_arw_20150528-0000_18_22_006_00,obs_wrf-s3cn_arw_20150528-0000_18_22_006,2015-05-28 18:00:00,18.00000,18.00000,1.00000,-101.94763,33.73807,13.91999,37.60449,1.41309,8.77344,0.00000,0.00000
obs_wrf-s3cn_arw_20150528-0000_18_22_006_01,obs_wrf-s3cn_arw_20150528-0000_18_22_006,2015-05-28 19:00:00,19.00000,19.00000,2.00000,-101.90679,33.60803,24.15046,59.43945,3.23340,9.97053,10.23047,21.83496
obs_wrf-s3cn_arw_20150528-0000_18_22_006_02,obs_wrf-s3cn_arw_20150528-0000_18_22_006,2015-05-28 20:00:00,20.00000,20.00000,3.00000,-102.01974,33.09029,18.44397,47.39160,4.22363,8.72696,-5.70649,-12.04785
obs_wrf-s3cn_arw_20150528-0000_18_22_006_03,obs_wrf-s3cn_arw_20150528-0000_18_22_006,2015-05-28 21:00:00,21.00000,21.00000,4.00000,-101.68516,32.93539,22.95100,50.10449,0.00000,10.40270,4.50703,2.71289
